jp,cn,kr,en
「知ってたんですね」,“你知道的啊。”,「알고 계셨군요.」,
「ああ、無論だ。それに気づかないほどわたしは鈍感ではないよ」,“当然啊。我可不至于迟钝到这都注意不到。”,"「그래, 물론이지. 나는 그걸 느끼지 못할 만큼 둔하지 않아.」",
先輩は片目をパチッと瞬く。,学姐单眼眨了一下。,선배님이 눈 한쪽을 찡긋한다.,
こういうことを堂々と言えるのだから本当にこの人は、なんというか凄いと思う。,居然这种话都能光明正大地说出来，这个人真的很厉害啊。,"이런 언행을 당당하게 할 수 있다니, 이 사람은 정말 대단한 것 같다.",
「まあ、そのユエナという子は今はいいよ。ところで少年」,“好了，那个叫由依奈的女孩先放一边。少年啊。”,"「뭐, 유에나라는 아이는 이제 됐어. 그보다 소년.」",
「なんでしょう」,“怎么了吗？”,「왜 그러시죠.」,
「明日は空いているか？」,“你明天有空不？”,「내일 시간 있나?」,
「明日ですか？　普通に部活には来ますけど……あ、湯呑を買いにいくんですね」,“明天吗？虽然我会来这里……啊，要去买茶杯是吧？”,"「내일이요? 평소처럼 동아리는 올 건데……. 아, 찻잔을 사러 가는 건가요.」",
「ふふ、君はそんなに私と買い物にいきたいのだな」,“呵呵，你就这么想和我去买东西吗？”,「후후. 그렇게나 나와 쇼핑을 가고 싶단 말이지?」,
「先輩が言ったんじゃないですか」,“不是学姐那么说的嘛。”,「선배님이 말씀하신 거잖아요.」,
「はっは、そうだな」,“哈哈，确实啊。”,"「하하, 그렇지.」",
相変わらず時々面倒くさい人だ。もう慣れたし、むしろそれが東雲先輩と言った感じでぼくは割とこんなやりとりが好きだったりするけど。,还是老样子，有时候特别麻烦。不过我也习惯了，倒不如说，这才是东云学姐吧，而且我也挺喜欢这么拌嘴的。,역시 사람 귀찮게 하는 재주가 있다. 이제 익숙하다 못해 이래야 선배님답다는 생각까지 든다. 그래서인지 이런 대화가 나쁘지 않다.,
「もちろん君とは私の新しい湯呑を買いに行くが明日ではない。明日の夜、空いているか？」,“当然了，我们去买茶杯的时间，并不是明天白天。明天晚上，你有空吗？”,"「물론 너와 새로운 찻잔을 사러 갈 테지만 내일은 아니야. 내일 밤, 시간 있나?」",
「明日の、夜ですか？」,“明天……晚上吗？”,"「내일, 밤이요?」",
ぼくの頭の中にユエナがでてくる。一昨日、昨日と夜はユエナと泉で過ごした。,我又回想起了由依奈，毕竟前天和昨天晚上，都是和她在泉水边度过的。,내 머릿속에는 유에나가 떠올랐다. 지난 이틀 동안 밤에는 유에나와 샘에서 시간을 보냈다.,
一昨日はたまたま会っただけだし昨日は一応約束もあって会った。けれど昨夜は、さきほど先輩に散々話したようにユエナは目の前からスッと消えてしまった。,前天只是偶然遇到，昨天姑且算是约了才见面。但昨晚，就像我之前跟学姐说的一样，她一转眼就从我面前消失了。,엊그제는 우연히 만난 것뿐이고 어제는 일단 약속을 한 것이니 만났다. 하지만 선배님께 이야기했듯이 어제 유에나가 눈앞에서 홀연히 사라졌다.,
だから約束は、していない。,所以，我并没有跟她有什么约定。,"그러니까 약속은, 없다.",
「もちろん空いてますよ」,“当然有空啊。”,"「네, 시간 있죠.」",
故に予定は空いている。,所以，自然是有空的。,그러니 시간이 남는다.,
「うむ」,“嗯。”,「음.」,
先輩が力強く、うん、と頷く。,学姐用力地点了一下头。,선배님이 힘차게 고개를 끄덕인다.,
「なら問題ない。今日の部活終了まではまだまだ時間はあるが、私はもうしばらくしたら帰る」,“那就没问题了。虽然离社团活动结束还有段时间，但我过一会儿就回去了。”,"「그럼 문제없군. 오늘 활동 종료까지 시간이 남았지만, 난 조금 뒤에 가려 한다.」",
先輩が立ち上がり、読んでいた本を本棚へ戻す。,学姐站起来，把正在看的书放回了书架上。,"선배님이 자리에서 일어나, 읽고 있던 책을 책장에 꽂았다.",
「何か予定ですか？」,“有什么事情吗？”,「볼일이 있으신가요?」,
「ああ」,“是啊。”,「그래.」,
「じゃ、ぼくも先輩と一緒のタイミングで帰ります」,“那，我就跟学姐一起回去。”,「그럼 저도 선배님 가실 때 같이 나갈게요.」,
「君は残っていても良いのだぞ？」,“你留在这也可以啊？”,「넌 남아 있어도 괜찮다만?」,
「残ってもやることないですし、先輩がいないなら帰りますよ」,“留在这里也没事情做，学姐都回去了，那我也就回去了。”,「남아도 할 게 없어서요. 선배님이 안 계시면 가야죠.」,
「き、君ってやつは」,“你、你这人啊。”,"「너, 너란 녀석은.」",
「はい？」,“嗯？”,「네?」,
「いーや、なんでもないよ。ふふっ、そうだな、少しの間雑談でもしようじゃないか」,“没啥，没什么。哈哈，是啊，那不妨来随便聊聊吧。”,"「아니, 아무것도 아니야. 후훗, 그래. 잠깐 동안 잡담이라도 하지 않겠어?」",
「いつも雑談しかしてないような気がしますけどね」,“可我觉得平时都是在随便聊啊。”,「항상 잡담밖에 안 했던 것 같지만요.」,
「ふむ、そうだったかな？」,“唔，是吗？”,"「흠, 그랬었나?」",
水泳で蹴伸びするように、先輩が両手ぐっと上へ伸ばす。それにつられて制服も上へ引っ張られてお腹が少し見える。,学姐就像是游泳伸展一样，把双手向上举起。然后校服也被拉了起来，都能看到一点肚子了。,선배님이 체조하듯 두 팔을 위로 쭉 뻗는다. 그 바람에 교복도 함께 딸려 올라가 배가 살짝 드러난다.,
ぼくは悟られないように目を離す。,我悄悄地把眼睛别向别处。,나는 자연스럽게 눈길을 피했다.,
先輩はそのままぐでっと机に倒れ込んで目を閉じた。,学姐则是直接趴到桌子上，闭上眼睛。,선배님은 그대로 탁자 위에 엎질러지며 눈을 감았다.,
「暖かいな」,“好暖和啊。”,「따뜻하다.」,
先輩の後ろから、今はまだ柔らかい日光が差し込んで、背中の上に流れる紫黒の髪を照らす。,柔和的日光透过窗户，照到学姐身后那紫黑色的长发上。,선배님 뒤편에서 부드러운 햇빛이 들어와 등 위로 흐르는 자흑색 머리카락을 비춘다.,
「そうですねー」,“确实啊……”,「그러게요ー」,
あくびをするように同調する。,我就像跟着人打哈欠一样应了一句。,하품을 하듯이 동조한다.,
「ふわぁ」,“呼啊～～”,「흐아암.」,
と思っていたら本当にあくびがでた。,然后还真打了个哈欠。,생각만 했는데 정말로 하품이 나왔다.,
「はぁぁ〜ふう……つられてしまったよ」,“哈～～～呼……被你带上了。”,「하아아~ 후우……. 나한테까지 번졌어.」,
「あくびって伝染しますからねえ」,“毕竟哈欠是会传染的嘛。”,「하품은 전염된다고 하잖아요.」,
「ああ」,“是啊。”,「그래.」,
時計が秒針を刻むチクタクとした音が部室を支配する。,秒针滴滴答答的声音回响在活动室里。,째깍째깍 시계 초침 소리가 부실을 지배한다.,
遠くからは外で部活する人達の声がうっすらと聞こえた。,外面还隐约传来其他人参加社团活动的声音。,저 멀리 바깥에서 동아리 활동하는 사람들의 목소리가 어렴풋이 들려온다.,
「すぅ」,“呼～”,「스…….」,
先輩は完全に目を閉じて、小さく寝息を立てている。,学姐闭上了眼睛，还能听到轻轻的鼻息。,선배님이 완전히 눈을 감고 작은 숨소리를 내쉬고 있다.,
「先輩？」,“学姐？”,「선배님?」,
呼んでみるものの返事はない。,我叫了一下，但她没有回应。,불러 보아도 반응이 없다.,
先輩のこんな姿を見られるのもきっと、この学校ではぼくだけだ。,我想，这个学校里，估计也就我能看到学姐这么个样子了。,"선배님의 이런 모습을 볼 수 있는 것도, 아마 이 학교에서는 나뿐일 것이다",
ぼくらは学年は違うし、普段の学校生活ではほとんど会うことはないけど、たまにみかける先輩はクールで凛々しい。,虽然不是一个年级的，平常也不怎么能见到。但每次见到，学姐都是一副英俊飒爽的样子。,"우리는 학년이 다르고 일반적인 교내 활동 중에는 마주치지 않지만, 가끔씩 마주치는 선배님은 언제나 대범하고 늠름하다.",
きっと、ぼく以外の生徒は先輩があくびをする人とは思ってない、そんな気さえする。,我甚至觉得，其他人估计都认为学姐是个不会打哈欠的人了。,다른 학생들은 선배님이 하품하는지도 모를 것이다. 그런 생각마저 든다.,
「すぅ……すぅ……」,“呼……呼……”,「스…… 스…….」,
先輩をみていたらぼくも眠くなってきた。,看着学姐，我都有点想睡了。,선배님을 보고 있자니 나까지 졸리기 시작했다.,
少しの間眠ろう。,稍微睡一会儿吧。,조금만 자자.,
この静かで、でも完全には無音ではなくて、そして暖かいこの部室ならきっとすぐに眠ってしまえる。,这么幽静温暖的社团活动室，肯定很快就能睡着的。,적당하게 감도는 고요함과 따스함. 금방이라도 잠에 빠질 듯하다.,
ぼくは自分の鞄を枕変わりにして顔を伏せ目を閉じた。,我枕在自己的书包上，闭上了眼睛。,나는 자신의 가방을 베개 삼아 얼굴을 묻고 눈을 감았다.,
「はっ！」,“哈！”,「헉!」,
不意に覚醒して目を開く。,我忽然就睁开了眼睛。,불현듯 눈이 뜨였다.,
「おはよう、少年」,“早安啊，少年。”,"「안녕, 소년.」",
「先輩……？」,“学姐？”,「선배님……?」,
ぼくは顔をあげ辺りを見渡す。顔をあげると頬が痛かった。きっと枕替わりにしていた鞄のせいだ。,我抬起头看了看周围。脸蛋有点痛，肯定是因为枕书包。,나는 얼굴을 들고 주변을 둘러보았다. 볼이 욱신거린다. 가방을 베고 잔 탓이다.,
「う、痛い」,“呜，好痛。”,"「으, 아파.」",
頬をさする。,我摸了摸脸。,볼을 어루만진다.,
「ふふ、痕がついているぞ」,“哈哈，脸都印上印子了。”,「후후. 자국이 남았어.」,
「え、本当ですか……って先輩！？」,“哎，真的吗……学姐？！”,"「아, 정말인가요……. 잠깐, 선배님!?」",
ぼくは首をぐるっと動かして時計を見る。,我转过头，看了看钟。,나는 목을 휙 돌려 시계를 확인했다.,
最後に見た時間から針はとっくに移動していて、部活ももう終わる時間にさしせまっている。,时间已经过去很久了，社团活动的时间也快结束了。,바늘이 마지막으로 본 숫자보다 앞쪽을 가리키고 있다. 벌써 동아리 활동을 마칠 시간이 다 되었다.,
「先輩、帰ってなかったんですか！？」,“学姐，你还没回去吗？！”,「선배님. 안 가신 거예요!?」,
先輩は予定があると言っていたはずなのに。,明明她说还有事来着。,선배님은 예정이 있다고 하셨는데.,
「君がいたからな」,“因为你在啊。”,「네가 있으니까.」,
「もしかしてぼくが寝ちゃってたからですか？」,“难道说是因为我睡着了吗？”,「설마 제가 자 버려서 그런 건가요?」,
「ははっ、無論だ」,“哈哈，当然啊。”,"「하하, 물론이다.」",
先輩は笑って、本をパタンと閉じる。,学姐笑了笑，关上了书。,선배님은 웃으며 책을 탁 덮었다.,
それは申し訳ないことをしてしまった。,感觉我做错了什么事情。,이거 정말 죄송한 짓을 하고 말았다.,
「時間、大丈夫ですか？」,“时间，没问题吗？”,"「시간, 괜찮으신가요?」",
「問題ないさ。それに……」,“没问题的，而且……”,「문제될 것 없어. 게다가…….」,
「それに？」,“而且？”,「게다가?」,
「君の寝顔がみれただけでも十分だよ」,“能看到你的睡脸，就足够了。”,「네 자는 얼굴을 봤으니 그것만으로도 충분해.」,
「うっ……」,“呜……”,「앗…….」,
先輩が立ち上がり髪が舞う。,学姐站起身来，长发也飘扬起来。,선배님이 일어서자 머리카락이 흩날린다.,
夕陽の茜色の光線に照らされて艶やかに輝いた。,在夕阳之下，散发出鲜艳的光芒。,저녁 노을을 받아 풍성한 윤기가 흐른다.,
「さ、もうすぐ部活終了の時間だ、帰るとしよう。君も一緒に帰る約束だろう？」,“好了，活动时间也差不多了，回去吧。你也约好了要一起回去了吧？”,"「자. 이제 곧 종료 시간이니, 돌아가도록 할까. 너도 같이 간다고 약속했었지?」",
「一緒、でしたっけ？」,“一起……吗？”,"「같이, 였던가요?」",
「無論だとも」,“当然了。”,「그렇고말고.」,
一緒なんて言ったっけとぼくはぼんやりとした頭の中で思い出す。,我勉强回忆起之前说的一起是说的什么。,같이 간다고 했었나. 나는 뿌예진 머릿속을 뒤적여 보았다.,
一緒というのは先輩が帰るタイミングで自分も部室を出るという意味だった気が……。,可不应该是一起离开社团活动室吗……？,내 기억엔 선배님이 돌아갈 때 나도 부실을 나가겠다는 뉘앙스였던 거 같은데…….,
「何をぼさっと立っているんだ、閉めるぞ」,“你还呆站着干吗？要关门了。”,「뭘 우두커니 서 있나. 닫을 거다.」,
いつのまにか先輩は鞄をもって部室の外にいた。,就这么一下，学姐就已经拿着书包站在门外了。,어느새 선배님은 가방을 든 채 부실 밖에 있었다.,
「あ、待って下さい」,“啊，稍微登一下。”,"「아, 잠시만요.」",
慌てて鞄を持って部室をでる。,我慌忙拿上书包走出活动室。,서둘러 가방을 들고 부실을 나선다.,
先輩がスカートのポケットから部室の鍵をだして閉めた。,学姐从裙子口袋里掏出钥匙，把门锁上了。,선배님이 치마 주머니에서 부실 열쇠를 꺼내어 잠근다.,
部室を出て先輩と廊下を歩く。,我们走出活动室，走在走廊上。,부실을 나와 선배님과 복도를 걷는다.,
静かな廊下に二つの足音が響いた。,周围回响着两种脚步声。,조용한 복도에 두 사람의 발소리가 울려 퍼진다.,
「――っ」,“——”,「――윽.」,
先輩の隣を歩くなんて恐れ多いと、少し後ろを歩いていたら先輩はぼくにペースを合わせる。,因为走学姐身边实在是有些惶恐，所以我就稍微往后了一点，但学姐也配合我往后了。,"선배님의 옆에서 걷기에는 황공해서 살짝 뒤처져 걸었더니, 선배님이 내 속도에 맞추어 걷는다.",
「ふふっ」,“呵呵。”,「후훗.」,
先輩はからかうように笑った。,学姐似乎是在打趣我一样笑着。,선배님이 장난스럽게 웃는다.,
うっかりすれば肩と肩が触れる距離。,肩与肩的距离也挺近的，一不小心就会碰到。,자칫하면 어깨와 어깨가 닿을 거리.,
「少年」,“少年。”,「소년.」,
「な、なんですか？」,“怎、怎么了吗？”,"「왜, 왜 그러세요?」",
「可愛い女の子とこうやって歩く気分はどうだ？」,“和可爱的女孩子一起走的感觉如何啊？”,「귀여운 여자와 이렇게 걷는 기분이 어떻지?」,
こつんと肩が触れ合う。おそらくわざと。,还把肩膀凑了过来，看来是故意的。,톡 하고 어깨가 닿는다. 아마도 일부러.,
「え……と、こ、光栄ですね？」,“哎……那个，荣、荣幸之至？”,"「아…… 그, 여, 영광이에요?」",
「なぜ疑問形なんだ。……まあいい。少年」,“为啥是问句啊……也行吧。少年。”,"「어째서 의문형이지? ……뭐, 됐다. 소년.」",
「次はなんですか」,“接下来是啥啊？”,「이번엔 뭐죠.」,
「星を見るのは、好きか？」,“你喜欢，看星星吗？”,"「별을 보는 건, 좋아하나?」",
「え……」,“哎……？”,「아…….」,
つい隣に顔を向ける。先輩は目を合わすことなくただまっすぐ前を見ている。,我不禁往身边一瞥，但还没对上眼神，我就又看向了前面。,무심코 옆으로 고개를 돌렸다. 선배님은 눈을 마주치지 않고 그저 앞만 보고 걷는다.,
「そうですね……」,“这个啊……”,「글쎄요…….」,
頭の中に一人の顔がぼんやり浮かび上がる。,脑海中不禁浮现出一个人的面庞。,머릿속에 한 사람의 얼굴이 희미하게 떠오른다.,
けれどぼくは頭をふってそれをかき消した。,但是很快就被我抹掉了。,나는 머리를 흔들어 그 이미지를 지웠다.,
「好き……ですよ」,“我……喜欢啊。”,「좋아……해요.」,
また疑問形になりそうなのを必死に抑えてそう答える。,我尽力不让这句话听起来像是问句。,다시 의문형이 될 뻔했지만 애써 억누르며 대답한다.,
口にだしてから、ぼくは星を見るのは好きだと何度も心の中で繰り返す。,这话一说出口，心里也就不断重复着。,그 다음 나는 속으로 별을 좋아한다고 몇 번이고 되뇌었다.,
大丈夫、ちゃんと好きだ。たとえあんなことがあったとしても、これだけは変わらない。大丈夫。,没事的，我依旧喜欢看星星。哪怕出过那样的事情，这点还是不会变的。没事的。,"괜찮아. 분명히 좋아해. 아무리 그런 사건이 있었다고 해도, 이것만큼은 변치 않아. 괜찮아.",
「ふむ、そうか」,“唔，是吗。”,"「흠, 그렇군.」",
先輩は嬉しそうにこくんと頷く。,学姐开心地点了点头。,선배님이 기분 좋게 끄덕인다.,
「先輩は天体観測とか好きなんですか？」,“学姐喜欢天文观测吗？”,「선배님은 천체 관측 같은 거 좋아하세요?」,
「無論だ。大好きだぞ」,“当然了，我最喜欢这个了。”,「그럼. 아주 좋아하지.」,
「へ、へえ」,“哎……”,"「오, 오오.」",
「驚くことか？」,“很惊讶吗？”,「놀랄 일인가?」,
「まあ、そうですね。そういえばぼくってあんまり先輩のこと知らなくて。先輩が好きなものって読書くらいかと思っていました」,“嗯，算是吧。说来我都不是很了解学姐呢，我还以为学姐就喜欢看书。”,"「뭐, 그렇죠. 그러고 보면 전 선배님에 대해 많이 알지 못해서. 선배님이 좋아하는 건 독서 정도로만 생각했죠.」",
「わたしにだって、ちゃんと好きなものはあるさ。だけど……」,“再怎么说，我也是有点兴趣爱好的嘛。不过……”,「나도 좋아하는 게 있어. 그렇지만…….」,
「だけど？」,“不过……”,「그렇지만?」,
「謎が多い女の子のほうが魅力的だろう？」,“充满谜团的女孩子不是更有魅力吗？”,「비밀이 많은 여자일수록 매력적이잖아?」,
ふふん、と先輩は腕を組む。,学姐笑着抱上了我的胳膊。,"흐흥, 선배님이 콧소리를 흘리며 팔짱을 낀다.",
「先輩はふつうに魅力的ですよ」,“可学姐本来就很有魅力啊。”,「선배님은 그냥 매력적이에요.」,
「へっ！？　そ、そうか」,“哎？！是、是吗？”,"「에!? 그, 그래?」",
「はい。それを聞いて一つ疑問に思ったことが」,“是啊。不过听到这个，我也有一个疑问。”,「네. 그 말을 듣고 하나 의문이 드는 게.」,
「ん？」,“嗯？”,「응?」,
「先輩、せっかく部活を作ったんですから天文部にすればよかったのにと」,“学姐，既然搞社团，当时怎么不搞个天文社呢。”,"「선배님. 이렇게 동아리를 만드실 거면 천문부로 했으면 좋았을 텐데, 하는.」",
先輩が大きく目を開く。それからゆっくり目を閉じて、はっはっはと笑った。,学姐睁大了眼睛，然后慢慢地闭上，哈哈哈地笑了几声。,선배님의 눈이 큼지막하게 열린다. 그리고 천천히 눈을 감으며 하하하 웃는다.,
「先輩？」,“学姐？”,「선배님?」,
「いや、なにもないよ。そうだな、天文部にすればよかったよ」,“不，没啥。确实啊，早知道就搞天文社了。”,"「아니, 별 것 아니야. 그렇구나. 천문부로 할 것을 그랬어.」",
先輩はまた遠くを見る。,学姐又看向了远方。,선배님이 다시 먼 곳을 바라본다.,
ぼくらは階段をでてそれぞれの昇降口で一度別れ、靴を履き替え外で合流する。,我们分别走进不同的电梯，然后在一楼换鞋的地方会合。,"우리들은 계단을 지나 입구에서 잠시 헤어져, 각자 신발을 갈아 신은 뒤 다시 합류했다.",
「最終下校時刻までにトンボ終わらせろよー！」,“在最后的下课铃之前要搞定啊——！”,축구부「하교 시간까지 땅 고르기 끝내라ー!」,
「ボール足りねえぞ！」,“球不够啊！”,야구부「공 개수 부족하다고!」,
外に出ると運動部の慌ただしい大声が飛び交っている。,我们走出门，外面就交织着体育社团各种叫喊声。,밖으로 나오니 운동부의 거친 목소리가 요란하게 날아든다.,
夕陽に照らされてグラウンドに影を落とし、走って汗をかく。,夕阳把他们挥汗如雨的身影映在操场上。,석양 진 운동장에 그림자를 드리우며 땀을 뻘뻘 흘리고 있다.,
「青春してますねえ」,“好青春啊。”,「청춘이네요.」,
少しだけ羨ましくて思わず口にでる。,我有些羡慕地说道。,조금 부러운 마음에 무심코 속내가 입 밖으로 나온다.,
「ん？」,“嗯？”,「응?」,
先輩もグラウンドに目を向ける。,学姐也看向了操场。,선배님도 운동장 쪽으로 눈길을 돌린다.,
「羨ましいのか？」,“很羡慕吗？”,「부럽나?」,
「少しだけ」,“稍微有点。”,「조금이요.」,
「そうか」,“是吗。”,「그렇군.」,
先輩がそう呟く。,学姐这么说道。,선배님이 작게 중얼거린다.,
「それっ」,“嘿！”,「에잇.」,
「いてっ」,“啊疼！”,「아야!」,
先輩が肩をぶつけてくる。痛くもないのに反射的にそう声がでる。,学姐故意撞了过来，虽然不疼，但我还是下意识这么说了。,선배님이 일부러 어깨를 부딪힌다. 아프지 않지만 반사적으로 목소리가 튀어나온다.,
「君も、彼らからしたら私と歩いているだけで羨ましがられているはずだ」,“在他们看来，你能够跟我一起走，也足够让人羡慕了吧。”,"「저들 입장에서는, 네가 부러울 거야. 나와 함께 걷고 있으니까.」",
ふふっとからかうように笑った。,她又像是在开玩笑似的笑了起来。,후훗. 장난스럽게 웃는다.,
「喜び、誇りたまえ」,“这值得开心，值得骄傲啊。”,"「기쁘게, 자랑스럽게 여기도록.」",
「そ、それは確かに嬉しいですけど、なんていうか恥ずかしさと申し訳なさのほうが勝ってます」,“说、说开心确实开心，只是更有种害羞和抱歉的情绪啊。”,"「그, 그건 확실히 기쁘지만요. 그보다 부끄러움이랑 죄송한 마음이 더 커요.」",
さっきから、なるべく誰にも見られませんようにと祈りながら歩いている。,刚才我就一直在祈祷，尽量不要有人看到我们。,아까부터 최대한 아무도 보지 못하길 기도하며 걷는 중이다.,
「はっはっは」,“哈哈哈！”,「하하하.」,
先輩が笑って立ち止まる。,学姐笑着停了下来。,선배님이 멈춰 서서 웃는다.,
少しだけグラウンドの方へ歩いて、そこで部活の片付けをせっせとしている生徒をみつめている。,然后稍微往操场走了几步，看着那些正在收拾的学生们。,"운동장 쪽으로 조금 걸어가, 부지런히 뒷정리하는 학생들을 바라본다.",
「わたしたちも、青春しているじゃないか」,“我们，不也是在青春之中嘛。”,「우리도 청춘을 만끽하고 있지 않나.」,
「それはあれですか。こんな可愛い女の子と一緒の部活で二人きりで部室にいるから、とかそういうのですか」,“你是想说那个吧能和这么可爱的女孩子两个人在社团活动室独处。之类的东西。”,"「이것도 그 뜻인 거죠. 이렇게 귀여운 여자랑 단 둘이 동아리 부실에 있으니까, 하는 거요.」",
「ふふっ、無論、それもそうだな」,“哈哈，当然，这也是一点。”,"「후훗. 물론, 그것도 그렇지.」",
先輩は指を顎にあてて、目を細めて笑う。,学姐用手顶着下巴，眯起眼睛笑起来。,선배님이 턱에 손가락을 대고 눈웃음을 짓는다.,
「ああやって汗を流すのも青春とよばれるものの一つだろうな。きっと、彼らは何年経っても部活でやったことは忘れることはないだろう」,“那种挥洒汗水也不过是青春的一种而已吧。不管过了多少年，他们也不会忘记这段经历的。”,「저렇게 땀을 흘리는 것도 하나의 청춘이라 할 수 있겠지. 저들은 몇 해가 지나도 이 순간을 잊지 못할 거야.」,
「でも、もしかしたら、わたしたちが部室で普段交わしている会話は、彼らのものとは違って忘れてしまうかもしれない。雑談だからな」,“不过，或许我们平时在活动室里的对话就跟他们不同，会被忘记。毕竟，那就只是在闲聊而已啊。”,「그에 반해 우리가 평소 부실에서 나누는 대화는 저들의 활동과는 다르게 금방 잊힐지도 몰라. 잡담이니까.」,
「た、たしかにそうですね」,“确、确实如此呢。”,"「그, 그렇겠네요.」",
「ああ。君は、三か月前にしたわたしとの会話、覚えているか？」,“是啊，你想想，我们三个月前说过的话，你还记得吗？”,「그래. 3개월 전 나와 했던 대화를 기억하고 있나?」,
不意に質問をなげかけられ、三か月前を思い出す。三か月前とピンポイントなのは何か重要な会話をしたのかもしれない。,她突然问了这么一句，我回想起了三个月之前的事情。没准三个月前有过什么很重要的对话。,느닷없는 질문에 세 달 전을 떠올린다. 중요한 대화가 있었기 때문에 특정 시기를 짚은 것인지도 모른다.,
「新入部員の話ですか？」,“是新社员的事情吗？”,「신입 부원 이야기인가요?」,
「それは重要だったか？」,“那事情重要吗？”,「그것이 중요했나?」,
そう言われるとたしか、先輩の「新入部員はいらん」の一言で終わった気がする。,这么说来，学姐好像丢下一句“不需要新社员”就结束了。,듣고 보니 그땐 선배님이 「신입 부원은 필요 없다.」고 한마디로 정리했던 것 같다.,
それをぬきにしても、そもそもそれが三か月前の会話だったのかも怪しい。,抛开这点，我甚至都有点怀疑这是不是三个月前的事情了。,그렇지 않아도 그 대화가 3개월 전의 것인지 불확실하다.,
「うーん」,“嗯……”,「음ー」,
もう少しだけ考えてみる。,我又想了想。,조금 더 생각해 본다.,
けれどやっぱり思い出すことはできなかった。,但果然还是什么都想不起来。,그러나 역시 떠오르지 않았다.,
「うっ、すみません、思い出せないです」,“呜，对不起，想不起来了。”,"「음, 죄송합니다. 안 떠오르네요.」",
「ふふっ、それでいいのだよ、少年」,“哈哈，那就足够了，少年。”,"「후훗. 그거면 된 거야, 소년.」",
「はぁ……？」,“啊？”,「네……?」,
どういうことだろう。,什么意思啊。,그게 무슨 말일까.,
「わたしも――覚えていない」,“因为——我也不记得了。”,「나도―― 기억하지 못해.」,
先輩は髪をはらって腕を組む。木々の隙間からこぼれた夕陽の光が差し込む。,学姐撩了下头发，抱着双臂，夕阳从树丛间穿了过来。,선배님은 머리카락을 쓸어 넘기고 팔짱을 꼈다. 나무 틈새로 새어 나오는 석양빛이 주변 공기에 스며든다.,
「でもな、少年」,“不过啊，少年。”,"「그렇지만, 소년.」",
先輩が優しい、けれど凛と整えた表情でぼくをみつめ口を開く。,学姐带着一副温柔，但是很干练的神情，对我说道。,선배님이 다정하면서도 의연한 얼굴로 나를 바라보며 입을 연다.,
「その日その時、その瞬間でしか話せなかった会話。けれど確かに何かを話していたその日々がまるごと青春だと、私は思う」,“我觉得，那一天、那个时间说的话，只属于那一个瞬间。但是每一天的对话，全都属于青春的一部分啊。”,"「그날 그때, 그 순간에만 나누고 말았던 대화. 하지만 확실히 무언가를 이야기했던 모든 날들이 전부 청춘이라고, 나는 생각해.」",
「まるごと……」,“全都属于……”,「모든 날 전부…….」,
「わたしたちのあの時間に名前はつけられない。そしてもしかしたら忘れてしまうかもしれない名前のない時間の代名詞を、我々は青春と呼んでいるのではないかな」,“那样的时光并没有名字。而那随时可能被忘却的、没有名字的时光的代名词，不就是‘青春’吗？”,"「우리가 보낸 그 시간에 이름을 붙일 수는 없어. 어쩌면 그렇게 잊어버리게 될 이름 없는 시간들을, 우리는 청춘이란 대명사로 부르는 게 아닐까.」",
「名前のない時間……」,“没有名字的时光……”,「이름 없는 시간…….」,
「何かをしたから青春しているというわけではないのだよ。君は、こうやって私との最後の青春を楽しんでおけばよい」,“并不是说要做了什么才是青春啊。你只要像这样，和我一起享受最后的青春就好了。”,"「뭔가를 하고 있기 때문에 청춘인 것이 아니야. 너는, 이렇게 나와의 마지막 청춘을 즐기기만 하면 돼.」",
「先輩……」,“学姐。”,「선배님…….」,
「さ、帰るとしよう」,“好了，回去吧。”,"「자, 이만 돌아가자.」",
先輩は腕を組んだまま小さく口角をあげて先を歩き出す。,学姐依旧双手环抱，嘴角微微上扬，迈出了步伐。,선배님은 팔짱을 낀 채 살짝 입꼬리를 올리고 앞으로 걸어나갔다.,
ぼくはそれに置いて行かれないように駆け足で駆け寄る。,我则是小跑地跟上她。,나는 혼자 남지 않도록 빠른 걸음으로 따라간다.,
「ぼく、言の葉サークルに入ってよかったです」,“我觉得，能进茶言悦社挺开心的。”,"「저, 말소리 서클에 들어오길 잘한 것 같아요.」",
「無論だ。わたしが作り私が誘ったんだ、後悔などさせてやるものか」,“当然了，这可是我创建、邀请了你的社团，怎么会让你后悔啊。”,「물론이야. 내가 만들고 내가 권유했어. 후회 따위 하게 두지 않아.」,
先輩の長い髪とリボンが歩幅に合わせて揺れる。,学姐的长发和缎带配合着步伐飘动着。,선배님의 긴 머리카락과 리본이 보폭에 맞추어 흔들린다.,
やがてぼくらは校門までやってきて、,我们走到校门的时候，,이내 우리는 교문에 다다랐고,
「ふむ、ではまた明日」,“嗯，那么明天见。”,「흠. 그럼 내일 보자.」,
「お疲れ様でした」,“今天辛苦了。”,「고생하셨어요.」,
「明日の夜は空けといてくれたまえよ、少年」,“明晚记得空出时间来啊，少年。”,"「내일 밤에는 시간을 비워 두도록 해, 소년.」",
先輩は背を向け片手をひらひらとさせて去っていく。,学姐转过身去，挥了挥手离开了。,선배님은 등을 돌리고 한 손으로 인사하며 떠나갔다.,
「もちろんです！」,“我会记得的！”,「알겠습니다!」,
