number,jp,cn,kr,en
371,時折漢字が読めなくて、隣の席の女子や、椿木先生に教えられながら、決められた場所まで読んでいく。,虽然有些不会念的汉字，但在邻桌女生以及椿木老师的帮助下，她还是顺利念完了自己的部分。,간혹 한자를 읽지 못해 옆자리 여학생이나 츠바키 선생님께 배우면서 정해진 곳까지 읽어 간다.,
372,「……二人、笑った」,“……我们忍不住笑了起来。”,「……두 사람은 웃었다.」,
373,「はい、ありがとう」,“好，谢谢。”,"「좋아, 고마워.」",
374,ユエナが席へ座る。椅子を引く音、教科書を机に置く音が聞こえる。,由依奈坐回了位置上。我能听到椅子拖动的声音，以及她将课本放回桌面的声音。,"유에나가 자리에 앉는다. 의자를 끄는 소리, 교과서를 책상에 놓는 소리가 들려온다.",
375,もし今ユエナの方を向いたら、もしかしたら目が合うかもしれない。,如果现在朝由依奈看去，说不定会跟她对上视线。,만약 지금 유에나 쪽으로 고개를 돌린다면 다시 눈이 마주칠지도 모른다.,
376,「……」,“……”,「…….」,
377,でもぼくは、視線は教科書と時々黒板を往復するだけだった。,然而，我的目光只在课本与黑板之间来来回回。,하지만 내 눈동자는 교과서와 칠판을 왕복할 뿐이었다.,
378,大きく開けた教室の窓から風が入る。,风从敞开的窗户涌入教室。,활짝 열린 교실 창문으로 바람이 불어온다.,
379,閉めていたカーテンが舞って、その向こうに隠していた太陽の光が目に入る。,拉起来的窗帘随风飘扬，先前被窗帘挡住的阳光直射到我的双眼。,닫힌 커튼이 펄럭거린다. 그 너머에 숨어 있던 햇살이 교실로 스며든다.,
380,「……っ」,“……”,「……아.」,
381,眩しい。思わず目を閉じる。,刺眼的阳光令我不禁闭上眼睛。,눈부시다. 나도 모르게 눈을 감았다.,
382,ユエナの後も音読は続いてく。,其他同学仍在继续朗读。,유에나 다음으로도 계속해서 학생들이 책을 읽는다.,
383,椿木先生もなんの違和感もなく授業をして、ユエナも一日で当たり前のようにクラスに馴染んで、時間は進んでいる。,椿木老师正常上课教学，由依奈在一天之内就理所当然般融入了班级，时间就这样慢慢推移。,츠바키 선생님도 별 탈 없이 수업을 진행하고 유에나도 자연스레 학급에 동화되었다. 당연스럽게도 시간이 흘러 간다.,
384,こんな当たり前も、いつかなくなるのかもしれない。,这样理所当然的生活，或许早晚会消失不见。,이런 당연함도 언젠가는 사라질지도 모른다.,
385,そんな漠然とした不安がのしかかる。,茫然的担忧在我心中挥之不去。,그런 막연한 불안감이 엄습해 온다.,
386,「…ふぅ」,“……唉。”,「…휴.」,
387,息をはく。,我叹气了口气。,한숨을 뱉는다.,
388,そんなこと考えても無駄だ。今日、あの夢と、少し昔を思い出してしまったのがよくなかったかもしれない。,想这些也没有用。或许是今天的梦与片段的回忆影响了我的心态。,고민해 봐야 소용없는데. 그 꿈을 꾸고 옛날 일을 떠올린 탓일까.,
389,ぼくは頭を振る。,我甩甩脑袋。,나는 머리를 흔들었다.,
390,教科書を持って背筋を伸ばす。,拿起课本挺直了身板。,교과서를 쥐고 허리를 쭉 편다.,
391,それでも思考は今朝のあれに浸食されていく。,但今早的梦依然占据着我的脑海。,그래도 머릿속은 아침에 있었던 일로 가득했다.,
392,教室で皆が黙って、ただ一人が拙い話し方で喋っているこの空間では授業に関係ないことばかりを考えてしまう。,大家都保持着安静，只有某位同学笨拙的朗读声，而我满脑子都在想着与课程无关的事。,"모두가 침묵한, 단 한 사람만이 서투른 말투로 떠들고 있는 교실에서는 수업과 관계없는 것만 생각하게 된다.",
393,だからぼくはカーテンの隙間から空を見た。,我通过窗帘的缝隙望向天空。,그래서 나는 커튼 틈새로 드러난 하늘을 바라보았다.,
394,雲の流れるその様を、目で追うことにした。,目光追随着飘动的白云。,흘러가는 구름을 눈으로 쫓았다.,
395,「今日も部活か？」,“你今天也要去社团？”,「오늘도 동아리냐?」,
396,「もちろん」,“是啊。”,「그럼.」,
397,鞄に教科書を入れていると航生に話しかけられる。,我将课本放进包里，这时航生突然向我搭话。,가방에 교과서를 넣고 있자니 코세이가 말을 건다.,
398,「杠葉さんとか」,“和杠叶同学一起？”,「유즈리하 양하고?」,
399,「ま、まあね」,“算、算是吧。”,"「뭐, 그렇지.」",
400,まだ一部の人がユエナのことを杠葉さんというのに慣れない。,我还是不喜欢听一部分人称呼由依奈为“杠叶同学”。,아직 몇몇이 유에나를 유즈리하 양이라고 부르는데 그것이 어색하게 느껴진다.,
401,ちなみにユエナは、杠葉さんという人には、さんはいらないとは言わない。,而由依奈并没有要求其他人去掉“同学”二字。,참고로 유에나는 유즈리하 양이라고 부르는 사람에게 양을 붙이지 말라고 얘기하지 않는다.,
402,基準がよく分からないけど、ユエナなりのなにかがあるんだろう。,虽然不明白由依奈的标准，但她大概是有自己的准则吧。,기준은 잘 모르겠지만 유에나 나름대로 뭔가 있겠지.,
403,「なーにが、まあね、だよ」,“你这算什么回答啊。”,「또ー 남일처럼 말한다.」,
404,肩をつかれる。,航生用肩膀顶了我一下。,누군가 어깨를 톡 건드린다.,
405,「ともき」,“智纪。”,「토모키.」,
406,「ん？」,“嗯？”,「응?」,
407,いつのまにか、ユエナが鞄を持ってすぐそばにいた。,不知不觉间由依奈已经拿着包走到我身边。,어느새 유에나가 가방을 들고 바로 옆에 서 있었다.,
408,「いこ」,“走吧。”,「가자.」,
409,「あ、ユエナ。ちょっとまって教科書まだ全部いれてないから」,“啊，由依奈。等我一下，我还没把课本收拾好。”,"「아, 유에나. 잠깐만. 아직 교과서 정리 중이라.」",
410,「んっ」,“嗯。”,「응.」,
411,ユエナはぼくの机にお尻を乗せるようにして座る。,由依奈坐到了我的桌子上。,유에나는 내 책상에 엉덩이를 대고 앉았다.,
412,色々気にしちゃうからやめてほしい。,这让我不由得想入非非，真希望她别做这种事。,여러모로 신경 쓰이니까 일어나 줬으면 좋겠는데.,
413,「じ、準備いいよ。いこう、ユエナ」,“我、我收拾好了。走吧，由依奈。”,"「다, 다 됐어. 가자, 유에나.」",
414,「んっ」,“嗯。”,「응!」,
415,ひょいとユエナが机から降りる。,由依奈从桌上跳了下来。,유에나가 폴짝 책상에서 내려온다.,
416,そういってユエナが教室の出入口に先に向かっていった。,然后先行走向了教室门口。,그리고 유에나는 먼저 교실 출입구로 향했다.,
417,「……カップルかよ」,“……你们是情侣吗？”,「……커플이냐.」,
418,「違うよ！」,“不是！”,「아니야!」,
419,ちゃんと否定しておく。,我立刻否认。,확실하게 부정한다.,
420,「わかった、わかった。じゃあな、智紀」,“我懂我懂。再见，智纪。”,"「그래, 알았어. 잘 가. 토모키.」",
421,「ほんとかな……。うん、また明日」,“你真的懂吗……嗯，明天见。”,"「진짜 이해한 건지……. 응, 내일 봐.」",
422,ぼくは友人に手をあげ、ユエナと一緒に教室をでる。,我向航生抬手告别，然后和由依奈一起离开了教室。,나는 친구에게 손을 흔들고 유에나와 함께 교실을 나섰다.,
423,背中で何か噂のようなものをされていることに恥ずかしくなりながら、ぼくたちは部室へ向かった。,身后的同学似乎在议论着我们，我不好意思地跟由依奈一起走向活动室。,"뒤에서 이런저런 소문이 생성되고 있는 것을 민망하게 여기며, 우리는 부실로 향했다.",
424,廊下を歩く。,我们走在走廊上。,복도를 걷는다.,
425,昨日もだったけど、校内で女子の隣を歩くことには慣れない。,昨天也是一样，我还是不习惯跟女生并肩走在学校里。,"어제도 그랬지만, 학교에서 여자와 나란히 걸으려니 어색하다.",
426,「ユエナ、学校楽しい？」,“由依奈，上学开心吗？”,「유에나. 학교 재밌어?」,
427,「うん、授業は楽しいっ。ともきは？」,“嗯，上课很开心。你呢？”,「응. 수업은 즐거워. 토모키는?」,
428,「ぼく？　んー、そんなに、かな」,“我吗？嗯……一般吧。”,"「나? 음ー 그렇게까진, 아니려나.」",
429,「どうして？」,“为什么？”,「어째서?」,
430,「授業が楽しみで学校に来ている人って少ないと思うよ。みんな給食とか放課とか、部活のほうが全然楽しみだと思うし」,“应该很少有人是因为喜欢上课才来上学的吧。大家都比较期待吃饭和放学的时间，社团活动可比上课有意思。”,"「수업이 기대돼서 학교에 오는 사람은 거의 없을 거야. 다들 급식이나 방과 후, 동아리 활동을 훨씬 기대하고 있을걸.」",
431,「ともきも？」,“你也是吗？”,「토모키도?」,
432,「そうだね。数学なんかはすごく嫌いだよ。理科も嫌い」,“是啊，我讨厌数学。理科也一样。”,「그렇지. 수학 같은 건 엄청 싫어하거든. 과학도 그렇고.」,
433,ぼくらは階段を登る。,我们爬上楼梯。,우리는 계단을 올랐다.,
434,生徒の声が一気に聞こえなくなる。,校园的喧嚣瞬间变成了一片寂静。,학생들의 목소리가 단숨에 지워진다.,
435,「でもともきは、宇宙の事とか、たくさん知ってる」,“可是你很了解宇宙知识这些的。”,"「그래도 토모키는, 우주에 관해서도, 많이 알고 있어.」",
436,「それは、好きだからだね。でもそういうのは学校の授業ではやらないから」,“那是因为我喜欢啊。但是学校的课程不会教这些东西。”,「그건 좋아하니까. 하지만 그런 건 학교 수업에는 없거든.」,
437,「……」,“……”,「…….」,
438,「ユエナ？」,“由依奈？”,「유에나?」,
439,「そう」,“这样啊。”,「그래.」,
440,ユエナがふわっと浮かぶ。,由依奈忽然飘了起来。,유에나가 둥실 떠오른다.,
441,「あ、ユエナここでは！」,“啊，这种地方会被人看到的！”,"「앗, 유에나 여기서는!」",
442,慌ててぼくは止めに入る。手を伸ばす。,我急忙阻止由依奈，向她伸出了手。,유에나를 말리기 위해 황급히 손을 뻗는다.,
443,けれどユエナの手はつかめなかった。,然而我没能抓住由依奈的手。,하지만 유에나의 손은 잡을 수 없었다.,
444,「飛んじゃだめだって」,“不能随便飞起来啊。”,「날면 안 된다니까.」,
445,「んふふっ」,“哎嘿嘿。”,「우후후.」,
446,ユエナは笑って、すとんと着地して、階段を駆けていった。,由依奈笑着落到地面上，然后快步爬上楼梯。,유에나는 웃으면서 착지하고 계단을 뛰어 올라갔다.,
447,「なんなんだろう？」,“她这是怎么了？”,「뭐였지?」,
448,宇宙人の考えることは分からないなあと思いながら慌ててユエナを追う。,真是搞不明白外星人的思维，我急急忙忙追了上去。,"외계인의 사고 방식은 이해하기 어렵구나, 생각하며 서둘러 유에나를 따라간다.",
449,ユエナは部室の前で待っていた。,由依奈在活动室门前等我。,유에나는 부실 앞에서 기다리고 있었다.,
450,先に入っていてもいいのに、と思いながら、ぼくは部室の扉をトン、トンとノックをする。,她明明可以一个人先进去的。我边想边敲了敲活动室的门。,먼저 들어가면 될 텐데. 나는 부실 문을 똑똑 노크했다.,
451,「入りたまえ」,“进来吧。”,「들어오도록.」,
452,先輩の声が中からして、ユエナがドアノブを捻って、ぼくらは部室へ入る。,房间内传来学姐的声音，由依奈拧开门，我们两人便一起走进了活动室。,"안에서 선배님의 목소리가 들려온다. 유에나가 손잡이를 돌려, 우리는 부실로 들어간다.",
453,「やあ、少年、ユエナくん」,“嗨，少年、由依奈。”,"「오, 소년. 유에나 군.」",
454,先輩が読書しながら、いつものように誰よりもはやくきてぼくとユエナを待っていた。,学姐和往常一样第一个到活动室，一边看书一边等待我和由依奈的到来。,선배님이 언제나처럼 누구보다 먼저 도착해 독서하면서 나와 유에나를 기다리고 있었다.,
455,「詩乃、こんにちは」,“诗乃，下午好。”,"「우타노, 안녕.」",
456,「ユエナくん、こんにちは。どうかな、この星の授業というやつは」,“由依奈，下午好。我们星球的课堂感觉怎么样？”,"「유에나 군, 안녕. 이 별에서 받는 수업은 어땠나.」",
457,「楽しいっ」,“很开心。”,「재밌어!」,
458,「はっはっは、そうか。ユエナくんは優秀な生徒だ」,“哈～哈～哈，这样吗。由依奈是个好学生啊。”,"「하하하, 그렇구나. 유에나 군은 우수한 학생이야.」",
459,ユエナはてくてく自分の席へ座って、先輩と話している。,由依奈走到自己的座位上，跟学姐聊了起来。,유에나는 저벅저벅 걸어가 자기 자리에 앉아 선배님과 대화를 나눈다.,
460,その光景はユエナがきてからのいつも通りだ。,自从由依奈来了以后，每一天都是这样的。,유에나가 온 뒤로 항상 보게 되는 광경이다.,
461,そして部室で先輩が先にいるのも、初めての部活から変わらないいつものことだった。,而学姐也同样会先到活动室，自从第一次社团活动直至现在从未改变。,"그리고 부실에 선배님이 먼저 와 있는 것도, 첫 동아리 활동 때부터 변함없이 유지되는 광경이다.",
462,でもそれが……,但是……,하지만 이것도…….,
463,「ん？　どうした少年、はやく座りたまえ」,“嗯？你怎么了，快坐吧。”,"「응? 왜 그러지, 소년. 어서 앉도록.」",
464,先輩が視線をぼくに向ける。,学姐看向了我。,선배님이 내 쪽으로 시선을 돌린다.,
465,「そ、そうですね」,“好、好的。”,"「그, 그럴까요.」",
466,ぼくは鞄を机に置いて、席へ座る。,我把包放到桌上，然后坐到椅子上。,나는 가방을 책상에 놓고 자리에 앉았다.,
467,ぼくは頭を振った。,我甩了甩脑袋。,나는 머리를 흔들었다.,
468,今日は変なことばかり考えている。,今天一整天都在胡思乱想。,오늘은 자꾸 이상한 생각만 하게 된다.,
469,「お茶、いれましょうか？」,“我来泡茶吧？”,「차를 탈까요?」,
470,またすぐに席を立つ。,我刚坐下就再次站起身子。,앉자마자 자리에서 일어난다.,
471,熱いお茶が今は飲みたい。,现在好想喝杯热茶。,지금은 뜨거운 차를 마시고 싶다.,
472,「うむ、そうだな。よろしく頼むよ」,“唔，可以。麻烦你了。”,"「음, 그래. 부탁하지.」",
473,「わたしもっ」,“我也要喝。”,「나도!」,
474,ユエナもピシッと手をあげる。,由依奈也举起了手。,유에나도 손을 번쩍 든다.,
475,「分かりました」,“知道了。”,「알겠어요.」,
476,ぼくは窓際に行って、お茶を入れる。,我走到窗边开始泡茶。,나는 창가로 가 차를 탔다.,
477,相変わらず空は青い。,天空依旧一片湛蓝。,변함없이 하늘은 푸르다.,
478,何百、何千、いや……もっと長い、長い時間変わっていないだろう青空が、すぐ上にある。,成百上千年……不，还要比这更加漫长，这片在漫长岁月中始终未变的蓝天就在我们的头顶之上。,"몇 백, 몇 천…… 그보다 훨씬, 훨씬 더 오랜 시간 변치 않았을 하늘이 바로 저곳에 있다.",
479,何も変わらない、いつもの日常、いつもの部活だ。,我们的生活一如既往，社团活动也一如既往。,"무엇도 변하지 않았다. 평소와 같은 일상, 평소와 같은 동아리다.",
480,「お待たせしました」,“久等了。”,「기다리셨죠.」,
481,「うむ、ありがとう」,“唔，谢谢。”,「음. 고맙다.」,
482,「ありがとっ、ともき」,“谢谢，智纪。”,「고마워. 토모키.」,
483,「いえいえどういたしまして」,“没关系，不用谢。”,"「아니, 별거 아니에요.」",
484,お茶を配って自分も席につく。,我给她们倒好茶以后回到了自己的座位上。,차를 나누어 주고 자리에 앉는다.,
485,「少しお茶にしたら、昨日の続きとしようか、ユエナくん」,“喝完以后就继续看昨天的书吧？由依奈。”,"「잠시 차를 마시고 어제 하던 걸 계속하도록 할까, 유에나 군.」",
486,「うんっ」,“嗯。”,「응!」,
487,ユエナが頷く。,由依奈点点头。,유에나가 끄덕인다.,
488,「君も、ちゃんと数学をやるように」,“你也要好好学数学。”,"「너도, 수학 제대로 풀도록.」",
489,「は、はい……」,“好、好吧……”,"「어, 네에…….」",
490,「なんだそのやる気のない返事は」,“怎么那么没有干劲。”,「그 기운 빠진 대답은 뭐냐.」,
491,「なに、君が分からないところをお姉さんが優しく教えてあげるだけだよ。文句あるまい？」,“如果有不懂的地方，姐姐只是会温柔地指导你而已。有意见吗？”,「괜찮다. 네가 모르는 부분은 누나가 친절하게 알려줄 테니까. 불만 없겠지?」,
492,「はい！」,“好的！”,「넵!」,
493,「ふふっ、いい返事だ」,“呵呵，说得好。”,"「후훗, 훌륭한 대답이야.」",
494,笑顔が少し怖かったので視線は合わせないでおく。,学姐的笑容有点可怕，我不敢直视她的双眼。,미소가 살짝 섬뜩했기에 시선을 맞추지 않고 피한다.,
495,「今日は煎餅を持ってきた、パリポリ食べようじゃないか」,“我今天带了煎饼，尽管吃吧。”,「오늘은 전병을 가져왔다. 아작아작 먹도록 하자.」,
496,先輩が鞄から醤油煎餅を取り出す。,学姐从包里拿出酱油煎饼。,선배님이 가방에서 간장 전병을 꺼낸다.,
497,「おぉ……詩乃、詩乃」,“哇……诗乃、诗乃。”,"「오오…… 우타노, 우타노.」",
498,「なんだい？」,“怎么了？”,「왜 그러니?」,
499,「これ、美味しい？」,“这个好吃吗？”,"「그거, 맛있어?」",
500,「ふふっ、その答えはもうユエナくんの行動にでているよ」,“呵呵，你的行动已经给出回答了。”,"「후훗, 그 대답은 이미 유에나 군의 행동에 나와 있어.」",
501,「……あ」,“……啊。”,「……아.」,
502,ユエナが子供のように、醤油煎餅にそっと手を伸ばしていたのがバレる。,由依奈像个小孩子一样悄悄向酱油煎饼伸出了手，我们都看在眼里。,유에나가 어린아이처럼 간장 전병에 손을 내밀고 있었다.,
503,「これは、美味しい」,“肯定很好吃。”,"「이건, 맛있을 거야.」",
504,「うむ、正解だ。それと、顔にもでていたな、ユエナくん」,“嗯，答对了。而且你的想法都写在脸上了，由依奈。”,"「음. 정답이야. 그리고 얼굴에도 다 써 있어, 유에나 군.」",
505,先輩が口の辺りをちょんちょんとつつく。,学姐点了点由依奈的嘴边。,선배님이 입가를 콕콕 찌르며 말한다.,
506,「――っ！？」,“——？！”,「――으!?」,
507,待ちきれない、そんなユエナの顔があった。,由依奈一副迫不及待的表情。,"더는 못 기다려, 유에나의 얼굴에 그렇게 써 있었다.",
508,「ユエナ、食い意地はってるね～」,“由依奈已经等不及要吃了啊～”,「유에나. 식욕이 대단하네~」,
509,「むむっ。ともきも」,“呜呜，智纪也一样。”,「흥. 토모키도.」,
510,「ぼくも？」,“我也一样？”,「나도?」,
511,「よだれいっぱい垂らしてる」,“你流了好多口水。”,「군침 잔뜩 흘리고 있어.」,
512,「そんな赤ちゃんじゃないんだから」,“我又不是小孩子。”,「그 정도로 어리진 않거든.」,
513,「あながち、顔は間違っていないぞ」,“但确实是一副馋嘴的表情。”,「표정을 보면 꼭 틀렸다고는 못하겠군.」,
514,「そんな先輩まで」,“怎么连学姐都这么说。”,"「아니, 선배님까지.」",
515,「なら君の分はない」,“那今天没你的份了。”,「그럼 네 몫은 없다.」,
516,「すみませんでした、先輩。ぼくは赤ちゃんです、煎餅をください、大好きなんです」,“是我错了，学姐。我就是小孩子，请分我一份吧，我最喜欢吃煎饼了。”,"「죄송합니다, 선배님. 전 아가예요. 전병 주세요, 겁나 좋아하거든요.」",
517,「君には、威厳やプライドがないのか……」,“你就没有尊严和自尊心吗……”,「너는 위엄이나 자존심이 없는 거냐…….」,
518,呆れた先輩の声が胸にささった。,学姐无奈的话语让我感觉好扎心。,선배님의 목소리가 가슴을 찌른다.,
519,「ま、ともあれ食べるとしよう。今日の部活と……」,“好了，我们快吃吧。今天的社团活动，还有……”,"「뭐, 하여튼 먹도록 하자. 오늘 동아리 활동…….」",
520,先輩が、ならではボードを一瞥する。,学姐看了一眼白板。,선배님이 전용 보드를 힐끔 쳐다본다.,
521,「地球合宿の二日目のはじまりだ」,“地球合宿的第二天，现在开始。”,「지구 합숙 이틀째를 시작하자.」,
522,先輩が煎餅をパリッと一枚食べる。,学姐吃了一片煎饼。,선배님이 전병 하나를 와자작 깨문다.,
523,いい音が鳴る。,咀嚼出阵阵脆响。,소리가 듣기 좋다.,
524,「おいしいっ」,“真好吃。”,「맛있어!」,
525,「ふふ、そうかよかったよ。ユエナくんにはこの日本の美味しいお菓子をぜひ堪能してもらいたいものだ」,“呵呵，那就好。我想让由依奈品尝一下我们日本的可口点心。”,「후후. 그렇다면 다행이야. 나는 유에나 군이 일본의 맛있는 과자를 충분히 즐겨 주었으면 해.」,
526,「今度ぼくも持ってきますよ、いつも先輩ばかりに持ってきてもらうのも悪いので」,“下次我也带点心过来吧，总是吃学姐带的太不好意思了。”,「다음에 저도 가져올게요. 항상 선배님만 가져오는 것도 죄송하니까요.」,
527,「君が持ってくるのはたいてい駄菓子だろう」,“你带来的基本都是粗点心吧。”,「네가 가져오는 건 대부분 곡물 과자잖나.」,
528,「いいじゃないですか、美味しいですよね、駄菓子。安くてあの美味しさは、コスパ最強ってやつですよ」,“有什么关系，粗点心很好吃的啊。物美价廉，性价比无敌。”,「뭐 어때서 그러세요. 맛있잖아요. 싼 값에 그 정도 맛이면 가성비 최고라고요.」,
529,「ちなみにぼくのおすすめは……」,“我最推荐的是……”,「그리고 제가 추천하는 건…….」,
530,「まてまて少年。今話したら勿体無い」,“等等，少年。现在说出来就太可惜了。”,「잠깐 기다려라 소년. 지금 이야기하기엔 아까워.」,
531,「勿体無い？」,“可惜？”,「아까워요?」,
532,「わたしは君が熱く語っているのを聞きながら、それを食べるのが好きなんだ。だからそれは食べるときにとっておいてくれたまえ」,“我喜欢边吃边听你充满热情的讲解。所以就留到吃的时候再说吧。”,「나는 네가 열변 토하는 모습을 바라보며 그 과자를 먹고 싶어. 그러니 그 이야기는 먹을 때까지 아껴 두도록.」,
533,「は、はぁ。わかりました。というかそんなに語ってましたか、恥ずかしいですね」,“是、是吗，好吧。话说我有那么唠叨吗？太不好意思了。”,"「네, 네에. 알겠어요. 근데 제가 그렇게 열변을 토했나요? 부끄럽네요.」",
534,改めて言われると恥ずかしい。,听学姐这么一说感觉好难为情。,새삼 듣고 나니 부끄럽다.,
535,「君は、好きなものはよく語っているよ。な、ユエナくん？」,“你谈到自己感兴趣的话题就会滔滔不绝。对吧，由依奈？”,"「너는 좋아하는 걸 잘 이야기하지. 안 그런가, 유에나 군?」",
536,「ふぇ？」,“哎？”,「흐에?」,
537,煎餅を口に咥えたままこっちを向く。,由依奈扭头看向我们这边，嘴里还塞着煎饼。,전병을 입에 문 채 이쪽을 돌아본다.,
538,「……おいしそうなのはいいことだ、うむ」,“……你爱吃就好。”,"「……맛있어 하는 듯하니 좋군, 음.」",
539,「ん？」,“嗯？”,「응?」,
540,「あはははははっ」,“哈哈哈哈哈哈。”,「아하하하하.」,
541,「はっはっは！」,“哈～哈～哈！”,「하하하!」,
542,ぼくらはいつものようにお茶会を楽しんで、そして地球合宿の座学が始まる。,我们像平时一样享受着下午茶，然后开始了地球合宿的讲座。,우리는 언제나처럼 다과회를 즐겼다. 그리고 지구 학습 공부에 들어간다.,
543,「世間とは、いったい、何の事でしょう。人間の複数でしょうか。どこに、その世間というものの実体があるのでしょう……」,“所谓的‘世人’，究竟是怎么回事呢？是人群吗？这个‘世人’的实体在哪里呢……”,"「세상이란 과연 무엇일까요. 인간 군상일까요. 과연 어디에, 이 세상의 실체가 존재할까요…….」",
544,今日も先輩の音読が始まる。,学姐今天也照常开始朗读。,오늘도 선배님이 낭독을 시작한다.,
545,一応、数学の問題集は開いておく。,我姑且还是翻开了数学习题本。,일단 수학 문제집을 펼쳐 둔다.,
546,ぼくはそれを聞きながら、きっと今日も数学の問題が一問も進まないんだろうなと思う。,听着学姐的朗读，我心想今天肯定也一题都做不出来。,나는 낭독을 들으면서 오늘 역시 한 문제도 풀지 못하겠구나 어렴풋이 생각한다.,
547,「けれども、その時以来自分は、世間とは個人じゃないか、という思想めいたものを持つようになったのです」,“从那时起，我开始有‘所谓的世人，不就是个人吗？’这种像是‘思想’的想法。”,「하지만 그때 이후 저는 세상이란 개인이 아닐까 하는 견해를 갖게 되었습니다.」,
548,「そうして……」,“而且……”,「그리하여…….」,
549,「そうして、世間というものは、個人ではなかろうかと、思いはじめてから」,“而且，自从我开始觉得世人这个概念就是个人以后。”,「그리하여 세상이란 개인이 아닐까 하고 생각한 뒤로는.」,
550,「……」,“……”,「…….」,
551,「……」,“……”,「…….」,
552,ユエナがふいに立ち上がって読み始める。,由依奈突然站起身开始朗读。,유에나가 갑자기 일어나 읽기 시작했다.,
553,「自分は、いままでよりは多少、自分の意志で動く事が、出来るようになりました」,“和以前相比，我或多或少地能够凭借自己的意志行动了。”,「저는 지금까지와는 다르게 다소나마 자신의 생각대로 움직일 수 있게 되었습니다.」,
554,「シヅ子の言葉を借りて言えば、自分は少しわがままになり、おどおどしなくなりました」,“借用静子的话来说，我变得有些随意，变得不畏首畏尾了。”,"「시즈코의 말을 빌리자면, 저는 약간 제멋대로 행동하게 되었고 주저함이 없어졌다고 합니다.」",
555,少しばかりたどたどしくも、透き通る声が部室に響く。,通透的嗓音在活动室内回荡，由依奈的朗读还有些不够流利。,조금은 더듬거리지만 맑게 울리는 목소리다.,
556,「ふふ、上手いじゃないか、ユエナくん」,“呵呵，念得很好啊，由依奈。”,"「후후. 훌륭한걸, 유에나 군.」",
557,ユエナが本から顔をあげる。,由依奈抬起了头。,유에나가 책에서 고개를 든다.,
558,「今日授業で、立って、読んだ」,“今天上课的时候，我站起来朗读了。”,"「오늘 수업 중에, 일어나서, 읽었어.」",
559,「楽しかった、んふふっ」,“很开心，哎嘿嘿。”,「재밌었어. 우후후.」,
560,ユエナがすとんと着席する。,由依奈坐回了椅子上。,유에나가 힘차게 착석한다.,
561,「それでねっ、それでねっ、ともきも読んでた！」,“还有还有，智纪也读了！”,"「그래서 있지, 있지, 토모키도 읽었어!」",
562,「ほぉ」,“嚯？”,「호오.」,
563,「クラス全員読みましたからね～。ちなみに読んだのは斜陽です」,“全班同学都读了。顺带一提我们读的是《斜阳》。”,「반 전원이 읽었으니까요~ 그리고 이번에 읽은 게 다자이 오사무의 사양이었어요.」,
564,「先生はね、椿木だった」,“我们的老师是椿木。”,"「선생님은, 츠바키였어.」",
565,「ははっ、あの人が教師か……不安しかないな」,“哈哈，那个人是你们的老师啊……真让人担心。”,"「하하, 그 사람이 교사라…… 불안할 뿐이야.」",
566,先輩が遠い目をする。,学姐望向了远方。,선배님이 먼 곳으로 시선을 던진다.,
567,「でもちゃんと教師やってましたよ。意外なことに」,“不过她当老师的时候还有模有样的。真是意外。”,「그래도 교사처럼 하던데요. 의외로요.」,
568,「無論、皆の前ではあの淑やかな口調でいるんだろう。まったく、卑劣な人だ」,“她在大家面前肯定装得很端庄文静吧。真是个卑鄙的人。”,"「물론 사람들 앞에서는 그 정숙한 말투로 꾸미고 있겠지. 나 참, 비열한 사람이야.」",
569,「卑劣って……」,“卑鄙……”,「비열까지야…….」,
570,その時バンッと扉が開け放たれる音がする。,这时，活动室的门被猛然推开。,그때 문이 컬컥 열렸다.,
571,「わわっ！」,“哇哇！”,「와아!」,
572,「こんにちは～」,“下午好～”,「안녕~」,
573,「あら、ユエナちゃんごめんなさい、驚かせてしまったわね」,“哎呀，对不起啊由依奈，吓到你了吧。”,"「어머, 유에나. 미안해. 놀라게 했구나.」",
574,白衣を翻して部室に入り込んできたのは椿木先生だった。,椿木老师推门而入，一身白大褂随风飘动。,츠바키 선생님이 백의를 휘날리며 부실에 난입해 온 것이었다.,
575,「東雲さん、お菓子はどこかしら？」,“东云同学，点心呢？”,「시노노메 양. 과자는 어디 있니?」,
576,「もう食べ終わりましたが」,“已经吃完了。”,「벌써 다 먹었습니다만.」,
577,「は？残してとけよ」,“啥？倒是给我留点啊。”,「뭐? 남겨 놓으라고.」,
578,これですよ、これ。ここにくると一気に口が悪くなる。,就是这样，老师一到我们活动室就会变得粗鲁起来。,"이거라고요, 이거. 여기만 오면 입이 확 거칠어져.",
579,「まあいいわ。智紀くん、お茶いれてもらえるかしら？」,“算了。智纪同学，能给我泡杯茶吗？”,"「뭐, 됐어. 토모키 군. 차 좀 타줄 수 있겠어?」",
580,「自分でやりたまえ」,“自己泡。”,「스스로 하시죠.」,
581,「いいですよ、先輩。やりますよ」,“没事的，学姐。我来泡吧。”,"「괜찮아요, 선배님. 제가 할게요.」",
582,「いいや、いい。少年がやる必要はないよ」,“不，你没必要伺候她。”,"「아니, 됐어. 소년이 할 필요 없지.」",
583,「ではそうすることにします。先生、ご自分でどうぞ」,“那我就不泡了。老师，你自己来吧。”,"「그럼 말씀대로 할게요. 선생님, 직접 하세요.」",
