jp,cn,kr,en
先輩が何かを言ってるという小さな情報だけが頭に入る。,我的脑中只意识到了学姐好像说了啥。,선배님이 무언가 말을 하고 있다는 작은 정보만이 머릿속에 들어온다.,
「ユエナー！」,“由依奈——！”,「유에나ー!」,
もう一度声をあげる。窓までの僅かな距離がもどかしい。,我又喊了一声。距离窗边微不足道的距离都使我着急。,다시 한 번 소리쳤다. 창문까지 가는 짧은 거리조차 멀게 느껴진다.,
今、窓から見えたのは一人の女の子だった。,刚刚我从窗户看到了一个女生。,"지금, 창문에서 보인 것은 한 여자아이였다.",
この中学の制服をきていた。みえたのは一瞬でも、見慣れているものだからすぐに分かる。,她穿着这个初中的校服。虽然只看到了一瞬，不过由于看熟了我立刻就认了出来。,이 중학교 교복을 입고 있다. 찰나였지만 눈에 익은 것이라 금세 알아보았다.,
そして、花色のあの髪は、多分おそらく間違いなくきっと……,然后，她那淡蓝色的头发，大概也许没错那就是……,그리고 엷은 남색 머리카락은 아마 틀림없이…….,
――ユエナだ。,——由依奈。,――유에나다.,
「っ！？」,“？！”,「아!?」,
ぼくはそのまま窓をすりぬけて飛び降りるんじゃないかという勢いで顔を窓につっこむ。,仿佛要直接从窗户跳下去一般的气势，我把头伸出了窗外。,나는 그대로 창문을 빠져나가 뛰어내릴 기세로 얼굴을 창문에 들이댔다.,
「どうしたんだ、少年！」,“少年，到底怎么了！”,"「왜 그러는 거야, 소년!」",
先輩がぼくの腰に腕をまわして、女の子とは思えないすごい力で支えているのを僅かに感じる。,学姐双手抱住了我的腰，用无法想象是女孩子的力气拉住了我。,선배님이 내 허리에 팔을 두르고 여자아이라고 생각지 못할 만큼 강한 힘으로 지탱하기 시작했다.,
「ユエナが、ユエナが！　下にっ」,“由依奈，由依奈她在下面！”,"「유에나가, 유에나가! 아래에…….」",
さっき見えたのは、窓から見えたのは……,刚才看到的，从窗户上看到的是……,"조금 전 본 광경은, 창문을 통해 본 것은…….",
落ちるユエナだった。,掉下去的由依奈。,떨어지는 유에나였다.,
自殺。,自杀。,자살.,
とびおり。,跳楼。,투신.,
昨夜屋上に残ったこと。嫌なことが頭の中を駆け巡る。どす黒い煙が視界の端から現実を浸食していく。,我想到她昨夜在屋顶的事。不好的预感在脑中穿过。视野边角的漆黑在不断地向现实侵蚀。,어젯밤 옥상에 혼자 남겨두었던 것. 끔찍한 예감이 머릿속을 휘젓는다. 새카만 연기가 시야 끄트머리에서 흘러나와 현실을 침식해 간다.,
いやだ、もう――失いたくない。,不要，我已经——不想再失去了。,싫어. 더 이상―― 잃고 싶지 않아.,
また、手が届かないのは嫌だ。,又一次触手不及，我不想这样。,"더 이상, 손이 닿지 않는 건 싫어.",
「ぃや……だ」,“不……要。”,「싫다……고.」,
かすれた声をあげ、ぼくは下を見た。,我发出了微弱的声音向下看去。,"갈라지는 숨을 토하며, 나는 아래를 내려다보았다.",
そこに――,在下面——,그곳에는――,
「え……？」,“哎……？”,「어……?」,
誰もいなかった。,空无一人。,아무도 없었다.,
ただ、眼下にはアスファルトの地面と、背丈をのばす青い雑草と、花と置きっぱなしの園芸道具があるだけ。,眼前的只有柏油路的地面，以及长的更高了的青绿色的杂草、花，还有放在那里还没收起来的园艺工具。,"아스팔트 바닥과 길게 자란 잡초, 꽃과 원예도구가 있을 뿐.",
窓からつきだした首から上の顔や髪に、涼しい風が鳴る。,我伸出窗外的脸和头发上，凉风呼啸而过。,차가운 바람이 불어 창문 밖으로 나온 머리를 훑는다.,
それは落ち着けと言われているような穏やかな風で、ぼくは視線を下から正面にもどして、そして……、,平稳的风，仿佛告诉我要冷静一样。我把视线从下方移回正面，然后……，,"바람은 마치 나를 달래려는 것처럼 부드러웠다. 나는 시선을 아래쪽에서 정면으로 돌렸고, 그리고……",
「ともき」,“智纪。”,「토모키.」,
上から、ユエナの声を聴いた。,从上面传来了由依奈的声音。,"위에서, 유에나의 목소리가 들려왔다.",
「え？」,“哎？”,「어?」,
思わず身体を少し捻って顔を上に向ける。,我不由自主地转动了身体向上面望去。,무심코 몸을 살짝 틀어 고개를 위로 들었다.,
「ん？」,“？”,「응?」,
先輩もぼくの腰にまわしていた腕をゆっくりほどいて、同じく窓に顔からつっこみ身体を捻って上を見上げる。,学姐也轻轻地松开了在我腰间的手，并和我一样把脸伸出窗外转动身体向上望去。,"선배님도 팔을 슬며시 풀고, 나와 마찬가지로 창문에 얼굴을 내밀어 위를 올려다본다.",
「ゆ、ユエナ！？」,“由、由依奈？！”,"「유, 유에나!?」",
「ユエナくん！？」,“由依奈？！”,「유에나 군!?」,
二人で同時に声をあげる。,两人同时喊了起来。,둘이 동시에 소리쳤다.,
「はろーえぶりわん。きちゃった、ぱふぇてろっ」,“Hello Everyone。我来了，芭菲突击～”,「헬로 에브리원. 나 왔어. 파르페테러!」,
ユエナが真剣な顔でピシッとピースをしてみせた。,由依奈一脸认真地摆了个V字手势。,유에나가 진지한 얼굴로 척 하고 브이 사인을 그렸다.,
「な、なにそれ……」,“啥、啥玩意啊……”,"「이, 이게 무슨…….」",
色々とツッコミどころの多い棒読みな日本語を披露して、ユエナは――,由依奈展示了她那槽点过多毫无感情的日语，然后——,이래저래 지적할 곳이 많은 단조로운 어조로 국어책 읽기를 선보인 유에나는――,
空を飛んでいた。,她在天上飞。,하늘을 날고 있었다.,
「……」,“……”,「…….」,
「……」,“……”,「…….」,
信じられない現象に、現実に、ぼくと先輩はお互い口が開けずにいる。,面对眼前出现的难以置信的光景，我和学姐都没能说出话来。,"믿을 수 없는 현상에, 현실에, 나와 선배님은 서로 입을 벌린 채 굳어버렸다.",
ユエナは何かロープでつるされているわけでも、ジェットエンジンか何かをつけているわけでもなく、ただ、ただ、,由依奈身上并没有绑着绳索，也没有装着什么喷气式引擎，她只是、只是——,"유에나는 로프에 매달린 것도, 제트 엔진 같은 걸 착용한 것도 아니고, 그냥, 그냥…….",
「空を、飛んでいる……？」,“在、天上飞……？”,"「하늘에, 떠 있는데……?」",
悠然と、それが当たり前のように物理法則を無視して飛んでいる。,她悠然地，如同理所当然一般无视着物理法则在天上飞。,"여유롭게, 그것이 당연하다는 듯 물리 법칙을 무시하고 떠 있다.",
「ゆ、ユエナ……さん？」,“由、由依奈……小姐？”,"「유, 유에나…… 양?」",
上に向かって声をかける。,我向着上方说到。,머리 위를 향해 말을 던진다.,
「ユエナサンじゃない、ユエナ」,“不是由依奈小姐，是由依奈。”,「유에나양이 아니야. 유에나.」,
「あ、うんごめんユエナ」,“啊，嗯，抱歉由依奈。”,"「아, 응. 미안해, 유에나.」",
すぐさま指摘があり、紛れもなく本物の、数日前泉で会い、昨夜一緒に天体観測をしたユエナだった。,立刻指出这一点，她毫无疑问是就是那个由依奈。那个几天前在泉水处见到的，昨夜和我们一起进行天文观测的由依奈。,"곧바로 지적이 들어오는 것을 보니 틀림없는 진짜다. 며칠 전 샘에서 만나, 어젯밤 함께 천체 관측을 했던 유에나다.",
「ほぅ……羨ましいな。わたしも自由に空を飛んでみたいものだ」,“嚯……真令人羡慕。我也想自由地在天上飞啊。”,「호오……. 샘나는데. 나도 자유롭게 하늘을 날아보고 싶군.」,
先輩はユエナをみて羨ましがっている。というより、,学姐看着由依奈一脸羡慕。不过先不说这个，,선배님은 유에나를 보며 부러워하고 있다. 아니 그것보다,
「先輩。現実受け止める、というか判断するのはやすぎませんか？浮いてるんですよ！　人が！」,“学姐，你接受现实或者说是进行判断的速度也太快了吧？她在天上飞啊！一个大活人！”,"「선배님. 현실 받아들이는 거, 아니, 판단하는 게 너무 빠르지 않나요? 날고 있잖아요! 사람이!」",
「なに、我々は五感で全ての判断をしているのだよ。見たこと聞いたことをもとに知り、考えているものだ」,“没什么，我们用五感进行全体的判断。通过看到的听到的来知晓、思考而已。”,「우린 오감으로 모든 걸 판단하고 있어. 본 것과 들은 것을 토대로 판단하고 생각하는 존재야.」,
「五感……それはまあ、たしかにそうですけど」,“五感……虽然你说得没错。”,"「오감……. 그건 뭐, 맞는 말이긴 하네요.」",
そんなことを言われても、である。,但即使这么说这情况也实在是……,그 한마디로 다 해결될 일이 아니기도 하다.,
もう一度ユエナを見るとやっぱりユエナは宙に浮いている。そこに、息もできて自由に動ける水の中にいるように、ユエナは空中でくるんと回転した。,我再一次看向由依奈，她果然在天上飞着。而且就像在能够呼吸的水中自由行动似的，由依奈在空中来回转着圈。,"다시 한 번 유에나를 바라보니 역시 유에나는 공중에 떠 있다. 마치 호흡이 자유로운 물속에 있는 것처럼, 유에나는 공중에서 빙글 회전했다.",
やっぱりマジシャンか。,果然是魔术吗？,역시 마법사인가.,
それともやはり幽霊か。,还是说是幽灵吗？,아니면 역시 유령인가.,
乾燥機の線は消えたな、なんてことを色々考えて、,是烘干机这个可能性没有了啊——想了很多可能性。,"건조기설은 배제해도 되겠구나, 그런 생각을 하다 보니",
「やっぱり理解が追いつかない……」,“我脑子还是跟不上……”,「역시 머리가 못 따라가…….」,
頭の中が白くぼやけていくのを感じた。,感觉大脑一篇空白。,머릿속이 새하얗게 번지는 듯했다.,
「少年、夢だと思うならここから飛び降りてみればよい。もし恐怖で躊躇するならば、君はちゃんと現実に生きているさ」,“少年，如果你觉得这是梦就直接从这里跳下去吧。如果你会因为感到恐怖而踌躇的话，你现在就身处于现实之中。”,"「소년, 꿈이라고 생각한다면 여기서 뛰어내려 보면 된다. 만약 두려움에 주저하게 된다면 너는 분명한 현실 속에 있는 거야.」",
先輩は、上空のユエナにひらひらと手を振る。,学姐向着上空的由依奈挥了挥手。,선배님은 상공에 뜬 유에나에게 살랑살랑 손을 흔들었다.,
「ユエナくん、空の上は気持ちがよいか？」,“由依奈，在天上感觉舒服吗？”,「유에나 군. 하늘 위에 있으면 기분 좋나?」,
「うんっ」,“嗯。”,「응.」,
「そうか、わたしも自分で飛ぶことはできるだろうか」,“是吗，那我也能飞吗？”,「그렇군. 나도 혼자만의 힘으로 날 수 있을까.」,
「わからない」,“我不知道。”,「몰라.」,
「うむ、それは残念だ。はっはっは」,“嗯，那还真是遗憾。哈～哈～哈。”,「음. 그건 유감이로군. 하하하.」,
先輩とユエナが呑気に会話している。,学姐和由依奈两人悠闲地说着话。,선배님과 유에나가 태평하게 대화하고 있다.,
そんな二人を見て冷静になってくる。,看着这俩人我也冷静了下来。,그런 두 사람을 보고 있자니 평정이 돌아온다.,
見えているものが現実、ということはユエナはやはり……,看到的是现实，也就是说，由依奈果然……,눈앞에 있는 것이 현실. 그렇다면 유에나는 역시…….,
「幽霊、だったのか」,“是幽灵？”,"「유령, 이구나.」",
幽霊にもいろんな種類があるんだなあと思いながら、絶対に違うだろうという確信を持ってぼくは無理やり目の前の現実に納得した。,想着幽灵也有各种类型，但我确信绝对不是这样，强行接受了眼前的现实。,유령에도 여러 종류가 있구나. 절대로 아닐 거란 확신이 있지만 나는 억지로 눈앞의 현실을 받아들였다.,
「ユエナ」,“由依奈。”,「유에나」,
もう一度空を見上げユエナに声をかける。,我再一次仰望天空叫着由依奈。,다시 한 번 하늘을 올려다보며 유에나에게 말을 건다.,
「あ……」,“啊……”,「아…….」,
そしてぼくは目を逸らした。,然后我移开了视线。,그리고 나는 눈길을 돌렸다.,
冷静になって、ぼくはユエナを下から見上げると何が見えるかを理解する。,冷静之后，我突然理解到从下面往上看由依奈会看到什么。,냉정을 되찾은 나는 유에나를 아래에서 올려다보면 어떻게 되는지 이해했다.,
ユエナはうちの制服を着ていて、つまりはスカートで、そしてそれを見上げるというのはつまり――,由依奈穿着我们学校的校服，也就是穿着裙子。那么从下面往上看的话——,"유에나는 우리 교복을 입었으니, 즉 치마를 입은 것이고, 그 상태에서 올려다본다면――",
「えっち」,“色鬼。”,「변태.」,
先輩が隣でニヤついていた。,学姐在一旁坏笑了起来。,선배님이 옆에서 히죽 웃는다.,
「そんなんじゃないですから！」,“不是这么回事啊！”,「그런 거 아니거든요!」,
「ゆ、ユエナ！」,“由、由依奈！”,"「유, 유에나!」",
「ともき、なに？」,“智纪，怎么了？”,"「토모키, 왜?」",
「ひとまずちょっと降りてきて……というか部室に入ってくれないかな。見上げるのもあれだし、それにぼくら以外にこの状況を見られたらまずい気がする」,“总之你能不能先下来……到社团活动室来。往上看的话有点那个，而且现在这个状况让别人看到的话感觉也不太好。”,"「일단 좀 내려와…… 부실로 들어오지 않을래? 이러고 있기도 좀 뭐하니까, 그리고 우리 말고 다른 사람이 보면 위험할 것 같아.」",
「ふむ、それもそうだな」,“嗯，也是呢。”,"「흠, 그것도 그렇지.」",
先輩も同意する。,学姐也同意了。,선배님도 동의했다.,
「わかった」,“我知道了。”,「알겠어.」,
ユエナは音もなくすっと高度を下げてくる。,由依奈一声不响地迅速降低了高度。,유에나는 소리도 없이 스르륵 고도를 낮췄다.,
ぼくと先輩は窓から離れて、そこからユエナは部室へ入り込んできた。,我和学姐从窗口处离开，由依奈从那里进到了活动室里。,"나와 선배님은 창문에서 물러났고, 그곳을 통해 유에나가 부실로 들어온다.",
前代未聞の入室である。,真是前所未闻的入室方法。,전대미문의 입실이다.,
「やあユエナくん、こんにちは。斬新な入り方だな」,“呦，由依奈，你好。这进屋方法还真是新颖。”,"「유에나 군, 안녕. 참신한 입장 방법이구나.」",
「詩乃、こんにちは」,“你好，诗乃。”,"「우타노, 안녕.」",
ユエナは部室に入り、静かに床に足をつけた。,由依奈进入了活动室，静静地站到了地面上。,유에나는 부실로 들어와 조용히 바닥에 발을 붙였다.,
ぼくは窓からもう一度外を覗いて辺りを確認する。,我再一次向窗外望去观望了一下四周。,나는 다시 창문 밖을 내다보며 주변을 확인했다.,
「とりあえず誰かに見られたことはなさそうです」,“总之应该没有人看到。”,「일단 다른 사람이 보진 못한 것 같아요.」,
言の葉サークルの部室の窓からは山や田んぼが見えるばかりで、人通りはない。,从茶言阅社的活动室窗口望去，能看到的只有山峦和田地，并没有人经过。,말소리 서클 부실 창문에서는 산과 논이 보일 뿐 지나가는 사람은 없다.,
それが功を奏したのか、それが分かっていてユエナがこうしたのかは分からないけど、ひとまず騒ぎになりそうなことはなさそうだった。,是多亏了这一点，还是说由依奈知道这点才这么做的，我无从知晓，总之看来不会引发骚乱。,유에나가 그것을 알고 그랬는지는 모르겠지만 일단 소동이 일어나진 않을 듯하다.,
「ようこそユエナくん、言の葉サークルへ。君を歓迎しようじゃないか。お茶はいかがかな」,“由依奈，欢迎来到茶言阅社。要来点茶吗？”,"「말소리 서클에 온 걸 환영해, 유에나 군. 환영회를 열어야겠어. 차 한잔 어떤가.」",
「ほしい」,“想要。”,「마실래.」,
「うむ、いれよう。そこに座りたまえ」,“好，这就来。你先在那里坐下吧。”,"「음, 준비하지. 거기에 앉도록.」",
先輩は、普段先輩が座っている席の隣に促して、ユエナはそこにちょこんと座る。,学姐指着平常坐的位置边上的座位催促着由依奈，由依奈拘谨地坐了下来。,선배님은 평소 선배님이 앉는 옆자리를 가리켰다. 유에나는 그 자리에 오도카니 앉았다.,
「なに落ち着いているんですか……」,“你们怎么这么冷静啊……”,「왜 이렇게 침착한 건데요…….」,
「ぼく、まだあんまり現実を認識できてませんよ」,“我还没怎么搞清状况呢。”,"「저, 아직 현실 감각이 없어요.」",
「君もはやくすわりたまえ」,“你也是，快坐下。”,「너도 어서 앉도록.」,
「は、はい」,“是、是。”,"「아, 네.」",
抵抗してもなんの意味もないのでここは素直に従っておく。,反抗也没什么用还是老老实实地听话吧。,저항해 봐야 소용없으니 고분고분히 따른다.,
「本物の、ユエナだよね？」,“你真的是，由依奈吗？”,"「정말, 유에나 맞지?」",
「ん。触ってみる？」,“嗯。要摸摸吗？”,「응. 만져 볼래?」,
「え、遠慮しておくよ。喋れてるってことは本物みたいだし、うん」,“哎，不用了。能说话看起来确实是真的，嗯。”,":「어, 아냐 괜찮아. 말하는 걸 보니까 진짜 같네, 응.」",
一度息をはいて落ち着く。,我吐了一口气冷静了一下。,한숨 지으며 맘을 가라앉힌다.,
「どうぞ」,“请用。”,「받아.」,
ほどなくして先輩がお茶を淹れて戻ってきた。,没一会儿学姐就沏好茶端了过来。,머지않아 선배님이 차를 타서 돌아온다.,
「ありがとうございます」,“谢谢。”,「감사합니다.」,
「ありがとう」,“谢了。”,「고마워.」,
お茶を受け取る。,我接过了茶。,차를 받는다.,
「さて」,“那么。”,「그럼.」,
先輩も席につき、口を開く。,学姐也回到了座位上，开口说道。,곧 자리에 앉은 선배님이 이야기를 시작한다.,
「ユエナくん」,“由依奈。”,「유에나 군.」,
「ん？」,“嗯？”,「응?」,
空気が少しだけピリッとした気がする。,气氛好像有些紧张了起来。,공기가 살짝 따가워진 기분이 든다.,
聞きたいことはたくさんあったが、ここは先輩に一度任せることにしよう。,虽然有一堆想问的，不过这里还是先交给学姐吧。,묻고 싶은 게 산처럼 쌓였지만 지금은 선배님께 맡기도록 하자.,
「ぱふぇてろって、なんだ？」,“芭菲突击，是什么？”,"「파르페테러가, 뭐지?」",
先輩が胸の前で腕を組んで、かくっと首を傾げた。,学姐抱起胳膊，歪着头。,선배님이 근엄하게 팔짱을 낀 채 갸웃하고 고개를 꺾는다.,
「まず聞くのがそれですか？」,“首先要问的竟然是那个吗？”,「처음으로 묻는 게 그겁니까?」,
任せたことを後悔する。,交给她真是后悔了。,괜히 맡겼구나 후회한다.,
「君も気にはなっただろう？」,“你应该也很在意吧？”,「너도 신경은 쓰였을 테지?」,
「いえ、さっきはちょっと動転していて何て言ってたかは正確には覚えてないですが。まあ気にはなります」,“那个，我刚才有些惊慌失措她说了什么我记得不是很清楚。总之在意还是在意的。”,"「아뇨, 아까는 당황해서 뭐라고 말했는지 정확히 기억 못했어요. 뭐, 신경은 쓰이네요.」",
「というわけでユエナくん、解説を求む」,“所以由依奈，请你做个解说。”,"「그렇게 됐네, 유에나 군. 해설을 부탁하지.」",
「ぱふぇてろっ？」,“芭菲突击？”,「파르페테러?」,
ユエナは不思議そうな顔でピースをした。,由依奈一脸不解地做了个V字手势。,유에나는 기묘한 표정을 짓더니 다시 두 손가락으로 브이를 그렸다.,
「わからない。でも、道を歩いていた小さな子がやってた」,“不知道。不过，路上有小孩子在玩。”,「모르겠어. 길 가던 작은 애가 했었어.」,
「パフェのテロを……？」,“芭菲的恐怖袭击……？”,「파르페를 테러……?」,
多分パフェとテロを合わせた言葉だろう。,大概是把芭菲和恐袭合成了一个词吧。,아마 파르페와 테러를 합친 말이리라.,
想像してみる。道を歩く小さな女の子が、パフェでテロ行為……うん全然分からない。,试着想象一下。在路上走着的小女孩，拿起芭菲进行恐袭……嗯，完全不明所以。,"상상해 본다. 길을 가던 작은 여자애가 파르페로 테러 행위……. 음, 하나도 모르겠다.",
「わからないのか、少年」,“少年，你没搞明白吗？”,「모르겠나? 소년.」,
「先輩は分かるんですか？」,“学姐你明白了？”,「선배님은 아시겠어요?」,
「ああ、こうだろ？」,“嗯，就是这样吧。”,「그래. 이거잖나?」,
先輩は片目をつぶり、右手でピースをつくり、ちろっと舌をだす。,学姐闭上了一只眼睛，右手做了个V字手势，吐出了舌头。,선배님이 한쪽 눈을 감고 오른손으로 브이를 만들고 혀를 삐죽 빼물었다.,
「てへぺろっ」,“哎嘿（てへぺろ）～”,「데헷페로.」,
「――っ！」,“——！”,「――헉!」,
ま、まさか先輩がこんなことをするなんて。,学、学姐竟然会做出这种事。,"서, 설마 선배님이 저런 걸 하다니.",
「んふふっ、ぱふぇてろっ」,“哎嘿嘿，芭菲突击（ぱふぇてろ）～”,「우후후. 파르페테러.」,
ユエナもまたやっている。言葉は間違っているけど、どうやら本当にてへぺろのようだ。,由依奈也又跟着来了一遍。虽然词完全用错了，不过看来确实是那个意思。,유에나도 다시 자세를 취한다. 말은 다르지만 아무래도 정말 데헷페로였나 보다.,
未だにやってる人なんているんだと感心した。,现在居然还有人用这词倒是挺令人惊讶的。,아직도 저런 걸 하는 사람이 있구나 하고 감탄했다.,
「どうだ可愛いか、少年」,“怎么样少年，可爱吗？”,"「어떤가. 귀엽지, 소년.」",
「どうだ可愛いか、ともき」,“怎么样智纪，可爱吗？”,"「어떤가. 귀엽지, 토모키.」",
二人して詰められる,两人一起逼问着我。,두 사람이 압박해 온다.,
「か、可愛いとは思いますよ。パフェテロはメルヘンで過激で斬新ですけど」,“可、可爱啊。虽然芭菲突击在童话里有些新颖加过激了。”,"「귀, 귀엽다고는 생각하죠. 파르페테러 말이에요. 동화스럽고 과격하고 참신하네요.」",
なんとかぼくは二人から視線を逸らさず言ってのける。,我勉强正视着两人的视线把自己的想法说了出来。,나는 어떻게든 두 사람에게서 시선을 피하며 겨우 얼버무렸다.,
その後、大量のパフェを投げつけられるのを想像して、すぐに頭からかき消す。,之后我想象了下大量的芭菲朝我袭来的场景，然后迅速将其从脑海中清除。,그 후 대량의 파르페를 투척하는 것을 상상했다가 곧바로 머릿속에서 지워버린다.,
「む、なんだそっちか」,“唔，你那算什么啊。”,"「뭐냐, 그쪽이었나.」",
先輩がむくれる。,学姐赌起了气。,선배님이 부루퉁해진다.,
「まあいいだろう。いつか君にはパフェテロだ」,“算了。等什么时候就对你进行芭菲突击。”,"「그래, 됐다. 넌 언젠가 파르페테러다.」",
「それは恐ろしい、ですね？　というか今日日聞かない言葉を当たり前に使わないでください」,“这还真是，可怕？话说，别这么淡定地用过气梗啊。”,"「그거 참, 무섭네요? 그보다 오늘 처음 들은 말을 자연스럽게 쓰지 마세요.」",
「覚悟しておきたまえよ、少年」,“做好心理准备吧，少年。”,"「각오하도록 해라, 소년.」",
先輩はそう言って笑ってから、こほんと咳払いをしてユエナに向き直る。,学姐说着笑了起来，然后干咳了声重新转向了由依奈的方向。,"선배님은 한차례 웃은 뒤, 목을 가다듬으며 다시 유에나에게 말했다.",
「さて本題だ、ユエナくん」,“那么由依奈，我们进入正题吧。”,"「그럼 본론이다, 유에나 군.」",
「ん？」,“嗯？”,「응?」,
ユエナが首を傾げる。,由依奈歪起了头。,유에나가 고개를 기울인다.,
「君は宇宙人か何かか？」,“你是外星人之类的吗？”,「너는 외계인 같은 존재인가?」,
「ちょ、直球だ」,“等下，这也太直白了。”,"「지, 직구다.」",
こういう時に回りくどい言い方をしないのは先輩らしいともはや感心する。,这种时候不拐弯抹角直接问，不愧是学姐，不如说令人钦佩。,이런 때에 에두르지 않고 직설적으로 말하는 것이 선배님다워서 감탄이 나왔다.,
ぼくはユエナを見る。,我看向由依奈那边。,나는 유에나를 쳐다보았다.,
果たしてユエナはなんて答えるのだろう。,究竟她会怎么回答呢？,과연 유에나는 뭐라 답할까.,
もしも宇宙人だという場合、ぼくはどんな反応をすれば正しいのだろう。,如何她回答是外星人的话，我该做出什么反应才是正确的呢？,"만약 외계인이라고 말할 경우, 나는 어떤 반응을 보이면 좋을까.",
幽霊じゃなかったのかー、残念！,不是幽灵啊，这还真是遗憾！,"유령이 아니었구나, 아깝네!",
……絶対違う。,……肯定不是这样的。,……이건 아니야.,
そんなことを考えながらユエナの回答を待つ。,我想着些有的没的等待她的回答。,그런 생각을 하며 유에나의 답을 기다린다.,
ユエナはしっかり先輩の目をみて、,由依奈注视着学姐的眼睛——,유에나는 선배님의 눈을 올곧게 바라보며,
「……ん」,“……嗯。”,「……응.」,
こくんと、頷く。,点了点头。,고개를 끄덕였다.,
「ふむ、そうか」,“唔，这样啊。”,"「흠, 그렇군.」",
先輩もただゆっくりとそう呟いてから、髪を後ろへはらう。,学姐也只是淡淡一说，同时把头发向后撩了一下。,선배님은 천천히 읊조리며 머리카락을 뒤로 쓸어 넘겼다.,
「この星の、生物じゃない。詩乃のいう宇宙人に、わたしは含まれる」,“我不是这个星球的生物。我属于你说的外星人的范畴里。”,"「이 별의, 생물이 아니야. 나는 우타노가 말하는 외계인 속에, 포함되어 있어.」",
「ユエナが、宇宙人……」,“由依奈是，外星人……”,"「유에나가, 외계인…….」",
まさか自分が、何かの物語の主人公のような、宇宙人と対面するだなんて思いもしなかった。,像故事的主人公那样，和外星人面对面这种事真是想都没想过。,내가 어떤 이야기 속 주인공처럼 외계인과 대면하게 될 거라곤 상상조차 못했다.,
先輩にああは言われたけど、ぼくはやっぱりまだこの現実を正しく認識はできていない。,尽管学姐那么说了，我还是没法正视这个现实。,나는 선배님께 한 대답을 듣고 나서도 좀처럼 이 현실을 받아들이지 못했다.,
宇宙人ではなく幽霊と言われた方がまだ納得はしたかもしれない。,如果不是外星人而是是幽灵的话，可能我还能接受。,외계인이 아니라 유령이라고 했다면 차라리 쉽게 납득했을 것이다.,
どちらかというとぼくは宇宙人を信じている人だった。いると思っていた。,不过话说回来，我是相信外星人派的。我也认为外星人是存在的。,어느 쪽이냐고 묻는다면 나는 외계인의 존재를 믿는 사람이다. 있다고 여겨 왔다.,
だけど出会うのはぼくではないと今でも思っている。,不过直到现在我都认为见到他们的不该是我。,"하지만 그 존재와 만날 사람이 나는 아닐 거라고, 지금 이 순간에도 생각하고 있다.",
「ユエナは本当に、宇宙人なの？」,“由依奈你真的是，外星人？”,"「유에나는 정말로, 외계인이야?」",
「うん」,“嗯。”,「응.」,
ユエナは頷く。冗談でもなんでもない肯定。,由依奈点了点头。这并不是什么玩笑话。,유에나가 끄덕인다. 농담도 장난도 아닌 긍정.,
宇宙人は、ぼくみたいな人ではなく、もっと物語の主人公のような人が出会うべきなのだ。,外星人应该是由更像故事主人公的人见到，而不应该是我。,외계인은 나 같은 사람이 아니라 이야기 속 주인공 같은 사람이 만났어야 했다.,
そう言う人が、ここから遠いどこかで出会って、ぼくはそれを遅れて知って、宇宙人はやっぱりいたんだと認識するのが普通なのだ。,一般来说，应该是那种人在离这里很远的地方见到了外星人，很久之后我才得知相关信息，认识到果然外星人是存在的才对。,"이곳과 멀리 떨어진 어디선가 주인공과 외계인이 만나고, 나는 그것을 뒤늦게 알아채면서 역시 외계인은 존재했구나 하는 것이 일반적인 흐름이다.",
ぼくが直接会ってしまっては、それをどこか信じきれない自分がいる。,而我直接见到外星人，这还是有点难以置信。,내가 직접 만나 버리니 이 사실을 곧이곧대로 신뢰하지 못하겠다.,
「君も存外、面倒くさい性格をしているな」,“没想到你的性格还真是麻烦啊。”,"「너도 의외로, 성가신 성격을 가졌군.」",
「え？」,“哎？”,「네?」,
「目の前にいるのは宇宙人であり、そしてユエナくんだ」,“在你面前的是既是外星人，也是由依奈。”,"「눈앞에 있는 건 외계인이며, 그리고 유에나 군이다.」",
「わたしは出会えたことを、とても光栄に思う」,“能见到她我感到很光荣。”,「나는 이렇게 만나게 된 것을 아주 영광스럽게 여겨.」,
「ぼ、ぼくも光栄ですけど」,“我、我也觉得很光荣啊。”,"「저, 저도 영광인데요.」",
反論するように同調する。,我像是在反驳一样附和着。,반박하듯이 동조한다.,
「だろう？　なら、地球代表として堂々としていればいい。そうでなくても、ユエナくんは一緒に天体観測をした仲間じゃないか」,“是吧？那么，我们作为地球人代表堂堂正正待在这里就好。就算不是这样，由依奈不也是和我们一起进行天文观测的伙伴吗？”,「그렇지? 그럼 지구 대표로서 당당히 마주하면 돼. 그게 아니더라도 유에나 군은 함께 천체 관측을 한 동료가 아닌가.」,
「いや……新入部員、だな」,“不对……应该叫新社员吧？”,"「아니……. 신입 부원, 이지.」",
先輩はそう言い換えた。,学姐换了个说法。,선배님이 단어를 바꿨다.,
「新入部員？」,“新社员？”,「신입 부원?」,
「ああ、どうだろうユエナくん。せっかくだ、我が言の葉サークルに入ってくれないだろうか？」,“嗯，由依奈你觉得如何。机会难得，你要不就加入我们茶言阅社吧？”,"「그래. 어떤가, 유에나 군. 이것도 인연이니, 우리 말소리 서클에 들어오지 않겠나?」",
「え、ちょ……」,“哎，等……”,"「아니, 그건…….」",
「うん、わかった」,“嗯，我知道了。”,"「응, 알겠어.」",
「ええっ！　いい……の？」,“哎哎！可以……吗？”,「어어! 그래도…… 돼?」,
