jp,cn,kr,en
だらりと垂れ下がった髪が何かの妖怪を彷彿とさせて尚怖い。,垂下来的头发看起来像什么妖怪似的，简直吓死人。,축 늘어진 머리카락이 어떤 요괴를 방불케 해 정말로 두려웠다.,
「……」,“……”,「…….」,
大量の唾を飲む。,我用力吞了口唾沫。,침을 크게 삼킨다.,
ごくりと音がはっきり聞こえる。,清晰地发出“咕嘟”一声。,꿀꺽 하는 소리가 또렷하게 들린다.,
声を、かけよう。,跟她打个招呼吧。,"말을, 걸어 보자.",
ぼくはそう思った。,我这么想着。,나는 그렇게 생각했다.,
恐怖に打ち勝ったからではなくて、ただ背中をみせて逃げたら追いかけられるとただそう思っただけ。,并不是战胜了恐惧，只是感觉如果转身背对她逃跑会被追过来。,두려움을 극복했기 때문이 아니다. 등을 돌리면 쫓아올 거라고 생각했을 뿐이다.,
幸い熊ではなさそうだし、その心配をするよりは声をかけたほうがよいと思った。,不过幸好不是头熊，与其担心被追不如试着打个招呼。,"다행히 곰은 아닌 듯하니, 말을 걸어 보는 편이 훨씬 나을 것이다.",
「こ、こんばんは〜」,“晚、晚上好～”,"「아, 안녕~」",
まずは基本、挨拶から。,先从基本的问候开始。,일단은 기본적인 인사부터.,
夜だから大きすぎず、かといって泉の中央にいる女の子には聞こえるくらいのボリュームで。,因为是晚上所以没有太大声，用泉水中央的女孩正好能听到的音量。,"밤이니까 너무 크지 않게, 하지만 샘물 가운데 있는 여자아이에게 확실히 들릴 만큼.",
なんとなくひらひらと手をふってみると、,不由自主地挥了挥手。,나도 모르게 손을 살랑살랑 흔들어 봤더니,
「……」,“……”,「…….」,
女の子もぎこちなく、ひらひらと手をふった。,女孩也不太自然地挥了挥手。,여자아이도 어색하게나마 손을 마주 흔들었다.,
「ノッてくれるんだ」,“看来是搭上话了。”,「반응해 주는구나.」,
少し安心する。妖怪ではなく多分ちゃんと人間。,稍微安心了一些。应该不是妖怪，是个人。,살짝 안심했다. 요괴는 아닐 테니 아마도 인간.,
女の子はやがて手をおろす。,随后，女孩放下了手。,여자아이가 손을 내린다.,
ぼくをじっと数秒見つめてから、じゃぶじゃぶと水をかき分けこちらへ向かってきた。,盯着我看了几面之后，哗啦哗啦地拨开水朝这边走来。,"나를 몇 초 동안 물끄러미 바라보다가, 첨벙첨벙 물을 가르며 다가오기 시작했다.",
(くるんだ),（要过来了。）,(왜 오지?),
このまま立ち去ろうと思っていたができなくなる。,本来还想直接离开，现在不行了。,이대로 돌아가려 했지만 그럴 순 없을 것 같다.,
仕方なく女の子がこちらへ来るのを待った。,只能等着她走过来了。,하는 수 없이 여자아이가 다가오기를 기다린다.,
「こ、こんばんは」,“晚、晚上好。”,"「아, 안녕.」",
女の子が泉からあがってきたところで改めて挨拶をしてみる。,女孩上岸以后我又打了声招呼。,여자아이가 샘에서 나온 것을 보고 다시 한 번 인사했다.,
「……」,“……”,「…….」,
何も言わない。,一言不发。,아무 말도 하지 않는다.,
泉からあがってきた女の子は髪も服もびしょびしょに濡れていた。,上岸的女孩无论头发还是衣服都湿透了。,샘에서 나온 여자아이는 옷과 머리가 전부 젖어 있었다.,
その姿にぼくはちょっとだけ、いや、結構見とれてしまう。,我有点……不对完全看入迷了。,"그 모습에 나는 조금, 아니, 상당히 넋을 잃었다.",
身長はぼくの顎のあたり。大きく開いた瞳は吸い込まれるほど綺麗。,身高到我下巴的位置。大大的眼睛美得仿佛要被吸进去一样。,키는 내 턱 근처. 커다랗게 뜬 눈동자는 빨려 들어갈 만큼 아름답다.,
普通に考えて、可愛い。,正常来判断，很可爱。,"수식을 붙일 필요 없이, 귀엽다.",
思わず声に出してしまいそうになり慌てて咳払いをして、別のことを考える。,差点说出口的我连忙咳了几声，转念思考其他的事。,나도 모르게 말로 튀어나올 것 같아 황급히 헛기침을 하며 다른 쪽으로 생각을 돌린다.,
「え、と……寒くない？」,“那个……你不冷吗？”,"「어, 그…… 안 추워?」",
「……ん」,“……嗯”,「……응.」,
女の子は濡れていることを特に気にしていない様子で小さくこくんと頷く。,女孩好像并不怎么在意自己浑身湿透，微微点了点头。,여자아이는 젖은 것을 특별히 신경 쓰지 않는 듯 작게 끄덕였다.,
とりあえずちゃんと女の子らしい声で安心する。熊でもないらしい。,至少听着是女孩子的声音，我更安心了些。看来不是熊。,여자아이의 목소리라 다시금 안심했다. 확실히 곰은 아닌 듯하다.,
「何してたの……って、聞いてもいいのかな？」,“你在做什么？……我可以问一下吗？”,「뭐하고 있었는지…… 물어봐도 될까?」,
こんな夜に一人で泉の中へ。それも全身がびしょ濡れになるくらいのなにか。,大晚上一个人待在泉水里。而且还全身湿透。,야심한 밤 혼자 샘 안에서. 그것도 온몸이 다 젖을 만한 무언가. ,
むしろ聞かなければならないと思う。,感觉不问不行。,안 된다고 해도 물어봐야 할 것 같았다.,
だけど女の子は、,但女孩——,하지만 여자아이는,
「……？」,“……”,「……?」,
首をかしげ、もう一度手をひらひらと振ってからぼくの横を通り過ぎていこうとした。,歪着头，又挥了挥手然后从我身边走了过去。,고개를 갸웃하고는 다시 손을 살랑살랑 흔들고 내 옆을 지나쳐 가려고 했다.,
「ちょ、ちょっと待って！」,“等、等一下！”,"「앗, 잠깐 기다려 봐!」",
手を伸ばすが、女の子に触れることをためらう。,我伸出手去，却犹豫要不要与她接触。,"손은 뻗었지만, 여자아이의 몸을 건드려도 될지 주저했다.",
伸ばすだけ伸ばした手はだらしなく宙に浮かんでいた。,伸出去的手空虚地晃着。,뻗은 손은 그저 허공을 움키고 말았다.,
それでも、女の子は立ち止まって、,不过女孩还是停了下来——,그럼에도 여자아이는 잠시 멈춰,
「ん？」,“嗯？”,「응?」,
もう一度首を傾げた。,又歪了歪头。,다시 한 번 고개를 갸웃했다.,
女の子が立ち止まってくれたことに一安心する。,她停下来至少让我放心了些。,여자아이가 멈춘 것을 보고 나는 가슴을 쓸어내렸다.,
安心したのもつかの間で、ぼくは慌てて言葉をはきだす。,不过也只是一瞬间，接着慌张地说起来。,"하지만 그것도 잠시, 나는 다급하게 말을 내뱉었다.",
話していないと、女の子はどこかへいってしまいそうな、そんな気がする。,感觉如果不开口，女孩就不知会去哪里了。,"말을 하지 않으면 여자아이가 금방이라도 떠날 것 같은, 그런 기분이 들었다.",
「え……と、さっきの遠花火、見た？」,“那个……刚才的空焰火，你看到了吗？”,"「어…… 그게, 좀 전에 불꽃, 봤어?」",
「花？」,“花？”,「꽃?」,
女の子が指さした先に白い花が咲いている。,女孩指着旁边一多白色的花。,여자아이가 하얀 꽃을 가리켰다.,
何の花かは知らないけど綺麗な花だった。,很漂亮的花，虽然不知道是什么品种。,무슨 꽃인지는 모르겠지만 예쁜 꽃이었다.,
「え、と花じゃなくて」,“呃，不是说花”,"「아니, 그 꽃이 아니라.」",
しかし今はその話じゃない。,不过现在不是在说这个。,하지만 지금은 그 이야기가 아니다.,
「遠花火」,“空焰火。”,「별꽃.」,
「遠花火？」,“空焰火？”,「별꽃?」,
不思議な響きの声だ。,声音听起来很奇妙。,음색이 독특하다.,
「うん、さっき向こうのほうで遠花火が見えたんだ。もしかしたら君も見たかもと思って」,“嗯，刚才我在那边看到了空焰火。所以觉得你是不是也看到了。”,「응. 아까 저쪽에서 별꽃이 보였거든. 혹시 너도 봤나 해서.」,
「……」,“……”,「…….」,
女の子は静かに首を横に振った。,女孩默默摇了摇头。,여자아이는 조용히 고개를 좌우로 흔들었다.,
「そっか」,“这样啊。”,「그렇구나.」,
泉で何かをしていたなら見ていないか。,因为在泉水里做什么所以没看到吗？,샘에서 뭘 하고 있었다면 못 봤겠구나.,
実際何をしていたかは、やっぱりぼくは聞かないことにする。変なことには巻き込まれたくない性分だから。,究竟在做什么我还是不问了。我可不想被卷进奇怪的事情里。,"뭘 하고 있었는지는, 역시 물어보지 말자. 이상한 일에 말려들기 싫으니까.",
「あ、そ、そうだ」,“啊，对、对了。”,"「아, 어, 맞다.」",
「ん？」,“嗯？”,「응?」,
思い出したかのように声をあげる。,她好像突然想起了什么似的。,방금 떠오른 것처럼 운을 뗀다.,
「ぼくはともきって言うんだけど」,“我的名字叫智纪。”,「나는 토모키라고 하는데.」,
「ともき」,“智纪。”,「토모키.」,
女の子が復唱する。,女孩跟着说了一遍。,여자아이가 따라 말한다.,
「君って名前、なに？」,“你叫什么名字？”,"「네 이름은, 뭐야?」",
「……」,“……”,「…….」,
女の子は一瞬考えるようなそぶりをして、聞こえないくらいの声量で呟く。,女孩一瞬间露出思考的模样，接着用我几乎听不到的生意嘟哝着。,"여자아이는 잠깐 생각하는 듯하더니, 들리지 않을 만큼 작은 소리로 중얼거렸다.",
「え？」,“什么？”,「뭐라고?」,
思わず聞き返す。,我不禁回问。,반사적으로 되물었다.,
「ゆ……ぇ、な」,“由……奈。”,"「유…… 에, 나.」",
今度は少し聞こえるくらいの声量でつぶやくと、女の子は、うんと頷いて、,女孩又用稍微大一点的声音嘟哝了一句，然后点了点头。,이번에는 겨우 들릴 만한 목소리로 중얼거린 뒤 고개를 끄덕이며,
「ユエナ」,“由依奈。”,「유에나.」,
はじまりかけた夏の夜に溶ける、儚く美しいこえだった。,她的声音就像在初夏之夜里融化一般，缥缈而美丽。,"갓 시작된 여름 밤에 스며드는, 덧없고 아름다운 목소리였다.",
「ユエナ、さん」,“由依奈……小姐。”,"「유에나, 양.」",
あまり聞きなれない名前を復唱する。どんな漢字を書くんだろうと考えてみたけどしっくりくる漢字はでてこない。,我复述着这个挺罕见的名字。思考了一下汉字该怎么写，但是想不出合适的。,"생소한 이름이다. 어떤 한자를 쓰는 걸까 생각해 봤지만, 딱 떠오르는 것이 없다.",
「ユエナサン、じゃない、ユエナ」,“不是由依奈小姐，是由依奈。”,"「유에나양, 아니야. 유에나.」",
「え？　あ、ああ……ユエナさん、じゃなくてユエナ」,“哎？啊，哦……由依奈小姐——不对，由依奈。”,"「어? 아, 아아……. 유에나.」",
会ったばかりの女の子を呼び捨てなんてぼくには荷の重い話だ。,对一个刚认识的女孩直接叫名字对我来说有点难。,방금 만난 여자애를 호칭 없이 부르기에는 짐이 너무 무겁다.,
「うんっ」,“嗯。”,「응!」,
ユエナさん、じゃなくてユエナは微笑む。,由依奈小姐——不对，由依奈露出微笑。,"유에나 양……이 아니라, 유에나가 미소 짓는다.",
「ええと、ユエナ」,“那个，由依奈。”,"「음, 유에나.」",
「ともき」,“智纪。”,「토모키.」,
「な、なに？」,“什、什么事？”,"「어, 어?」",
オウム返しのように名前を呼ばれて慌てて返事をする。,她像鹦鹉学舌似的叫着我的名字，我慌张地回应。,마치 앵무새가 이름을 따라 부르는 것 같다. 나는 당황한 기색을 내비치며 대답했다.,
「……ふふ」,“……嘻嘻。”,「……후후.」,
ニコニコと笑っているだけで、用はないようだ。,只是笑嘻嘻地，似乎并不是有什么话要说。,"그저 빙글빙글 웃기만 할 뿐, 용무는 없는 듯하다.",
ぼくは話を続ける。,我接着说了下去。,나는 이야기를 되살렸다.,
「ユエナは遠花火って知ってる？」,“你知道空焰火吗？”,「유에나는 별꽃이 뭔지 알아?」,
「知らない」,“不知道。”,「몰라.」,
「そっか」,“这样啊。”,「그렇구나.」,
やっぱりユエナは遠花火を知らないようだった。,看来她确实不知道空焰火。,역시 유에나는 별꽃을 모르는 듯하다.,
つい教えたくなるぼくの癖がでる。,我忍不住习惯性开始介绍。,나도 모르게 가르쳐주려는 습관이 튀어나온다.,
「ユエナは遠花火は見たことないんだよね？」,“你没看过空焰火吧？“,「유에나는 별꽃을 본 적 없는 거지?」,
「うん」,“嗯。”,「응.」,
「あれは運だからね。遠花火って珍しい天文現象なんだ。空のずっと高いところで何かが爆発するような現象」,“毕竟得看运气啊。空焰火是一种罕见的天文现象。是一种在天空非常高的地方，某种东西爆炸的现象。”,「그건 운이 따라야 하니깐. 별꽃은 희귀한 천문 현상이야. 하늘 높은 곳에서 뭔가가 폭발하는 현상.」,
「ばく、はつ……？」,“爆炸……？”,"「폭, 발……?」",
「爆発してるっぽく光るっていう表現が正しいかな」,“准确地说，应该是像是爆炸的光芒吧。”,「정확히는 폭발하는 것처럼 빛난다고 해야 되나.」,
「割と似たような現象の流れ星は、彗星の放出したチリと地球の大気がぶつかって見えるから、あれは本当は燃えるって表現が正しいけど」,“与类似的现象——流星周围的尘埃与地球大气的摩擦看上去很相似，所以用燃烧来表述应该是正确的。”,"「비슷한 현상으로는 별똥별이 있는데, 혜성이 방출하는 먼지와 지구의 대기가 부딪히는 거야. 그래서 그건 불탄다고 표현하는 게 맞겠지.」",
吸い込まれそうな瞳でぐっとみつめてくるユエナにぼくは若干たじろぎながら話を続ける。,由依奈用仿佛能把人吸进去的眼睛盯着我，让我有点紧张，但还是说了下去。,유에나가 매혹적인 눈동자로 물끄러미 쳐다본다. 나는 약간 주춤거리며 말을 이어 나간다.,
「遠花火は、本当に花火みたいに弾けるように光るんだ。花火みたいに色は何色もないし何発もあがるわけじゃないけど、白い閃光とオレンジの淡い光はとても……綺麗だよ」,“空焰火就像焰火似的闪着光芒。虽然不像焰火有很多种颜色而且会放很多发，但白色的闪光和淡橘色的光芒……都非常美的。”,"「별꽃은 불꽃놀이처럼 터지듯이 빛나. 색이 다양하거나 여러 발을 쏘는 건 아니지만, 하얀 섬광이랑 옅은 오렌지색 빛이 굉장히…… 아름다워.」",
「白い閃光……淡いオレンジ……」,“白色的闪光……淡橘色……”,「하얀 섬광……. 옅은 오렌지…….」,
「そう。そして最後に少しだけ、淡いブルーの色に変化して夜空に消えていく」,“没错。到了最后会变成淡蓝色，然后消失在夜空中。”,"「응. 그리고 마지막에 잠깐, 연한 파란색으로 바뀌면서 밤하늘로 사라지지.」",
「ただ本当に謎の多い天文現象でいつどこで見れるかは誰にも分からない。でもこの地域は比較的遠花火がよくみえる場所でわりと有名だったりするよ」,“完全是非常神秘的天文现象，什么时候、在哪能看到没有人知道。不过这个地区作为相对容易看到空焰火的地方还挺有名的。”,「하지만 정말 비밀이 많은 천문 현상이라 언제 어디서 볼 수 있을지 아무도 몰라. 이 지역은 비교적 별꽃이 잘 보이는 곳으로 은근히 유명해.」,
「なんでかは知らないけどね」,“虽然不知道是为什么。”,「이유는 모르겠지만 말이야.」,
「今、見える？　遠花火」,“现在能看到吗？空焰火。”,"「지금, 보여? 별꽃.」",
ユエナは夜空を見上げる。,由依奈仰望夜空。,유에나가 밤하늘을 올려다보았다.,
ぼくもつられて夜空を見上げる。,我也跟着她一起抬头仰望。,나도 이끌리듯 하늘을 올려다본다.,
「さっきは見えたんだけど……」,“刚才能看到……”,「아까는 보였는데…….」,
「一日の夜に何個も見えたことはほとんどないし、もしかしたらまたしばらくは見えないかも」,“不过一天晚上出现好几次的情况基本上没有，说不定一段时间内都见不到了。”,"「하룻밤에 여러 번 보였던 적은 거의 없었으니까, 한동안 안 보일지 모르겠네.」",
ぼくのせいではないけどなんだか申し訳なくなる。,虽然不是我的错，但感觉挺抱歉的。,내 탓은 아니지만 왠지 미안해진다.,
それでももしも、今ぼくらの上空で遠花火が見られたら、それはとてもロマンチックだとも勝手に思う。,不过如果现在空焰火出现在我们头顶，感觉可能还挺浪漫的。,"그래도 만약에 지금 우리의 머리 위에 별꽃이 나타난다면, 그건 정말 로맨틱한 일일 거라고 멋대로 상상한다.",
でも――,但是——,그러나――,
次に起きたことは、もしかしたら遠花火よりも驚愕で美しくて、そして儚いものだった。,接下来发生的事，说不定比空焰火更加美不胜收，更加虚无缥缈。,"이 다음 일어난 일은, 어쩌면 별꽃보다 더 놀랍고 아름다운, 그리고 고귀한 것이었다.",
「そう、見れないなら、それでいい」,“是么，看不到的话，那就行了。”,"「그래. 볼 수 없다면, 됐어.」",
「ユエナ？」,“由依奈？”,「유에나?」,
「……」,“……”,「…….」,
何かに堪えるようにユエナはいつのまにかうつむいていた。,似乎在忍耐什么的由依奈不知什么时候低下了头。,무언가를 견디는 것처럼 유에나가 고개를 숙였다.,
「ユエ……」,“由依……”,「유에…….」,
もう一度名前を呼ぼうとした時だった。,就在我又叫了她的名字时。,다시 이름을 부르려던 그때였다.,
「ユエナ！？」,“由依奈？！”,「유에나!?」,
ユエナが泉に向かって全力疾走で駆けだす。,由依奈全力朝着泉水跑去。,유에나가 샘 쪽으로 전력질주하기 시작했다.,
理由は分からない。目的も分からない。,理由不明、目的不明。,이유는 모르겠다. 목적도 알 수 없다.,
ただ濡れた髪をなびかせながら走って、泉の端でぴょんと軽くジャンプする。,她甩着湿淋淋的头发，跑到泉水边以后轻轻一跳。,"다만 젖은 머리카락을 휘날리며 달려가, 샘 가장자리를 밟고 가볍게 점프했다.",
「あ」,“啊。”,「아.」,
小さな跳躍からは思ったよりも高く、ユエナは空を駆けるようにふわりと舞いながらジャンプして、,以为只是轻轻一跳却跳得很高，由依奈像是在空中奔跑一般轻盈地跳了起来——,짧은 도움닫기에도 불구하고 유에나는 하늘을 나는 듯 둥실둥실 떠올라,
ユエナは泉に落ちていった。,落进了泉水里。,샘으로 떨어졌다.,
大きな塊が水面にたたきつけられる音がする。,发出了很大的落水声。,커다란 덩어리가 수면을 강타하는 소리가 났다.,
「っ！」,“呃！”,「윽!」,
慌てて泉に駆け寄る。,我连忙朝泉水跑去。,서둘러 샘으로 달려간다.,
「な、なにしてるの！　大丈夫！？」,“你、你在做什么？没事吧？！”,"「가, 갑자기 왜 그래! 괜찮아!?」",
また泉の中央で立つユエナはこくりと頷く。,又一次站在泉水中央的由依奈点了点头。,다시 샘 중앙에 선 유에나가 고개를 끄덕인다.,
ユエナの髪のいたる毛先から水滴が落ちて波紋をつくる。,发梢滴落的水滴在水面泛起波纹。,유에나의 머리카락에서 물방울이 떨어져 물결을 일으킨다.,
服もピタリとはりついている。,衣服也粘在了身上。,옷도 맨살에 딱 달라붙었다.,
「な、ならいいけど……」,“那、那就好……”,"「그, 그럼 다행인데…….」",
泉に向かって盛大にダイブした本人はけろっとして、心配するだけ無駄なような表情を浮かべていたので、,猛然跳进泉水的她本人一脸若无其事，我不禁露出衣服白担心了的表情。,샘을 향해 성대하게 다이빙 한 장본인은 몹시도 태연했다. 걱정이 무색할 만큼 덤덤한 표정이었기에,
「この地域にこんな風習はないんだけどなあ」,“这个地区好像没有这样的习俗吧？”,「이 지역에 그런 풍습은 없는데.」,
もしかしたら自分だけが知らない風習があったのかもと自分に不安になったくらいだった。,我甚至有些担心是不是有什么只有我不知道的习俗了。,어쩌면 나만 모르는 풍습이 있나 싶어 불안해질 정도였다.,
「あ、そういえば」,“啊，对了。”,"「아, 그러고 보니까.」",
そんな風習はない、と頭を振って今更ながらユエナがうちの中学の制服を着ていることに気が付く。,把习俗的问题赶出脑海以后，我这才发现由依奈穿着我们学校的校服。,"그런 풍습은 없다고 고개를 흔들던 나는, 유에나가 우리 중학교 교복을 입고 있다는 것을 뒤늦게 알아챘다.",
決して肌にはりついたセーラー服とか、水に濡れたセーラー服から何か透けないかとそういうことを考えたいたわけではない……多分。,我可不是在想贴在身上的水手服或者湿透的水手服下面会不会透出什么之类的事……大概。,결단코 살갗에 달라붙은 세라복을 관찰했다거나 물에 젖은 옷 너머로 무언가 비치지 않을까 기대했던 것은 아니다. ……아마도.,
「大丈夫そうならぼくは問題ないんだけど。そこってそこまで深くはないんだね、知らなかった」,“你没事的话就好。我都不知道那里这么浅呢。”,「괜찮은 것 같으니까 문제는 없지만. 거기가 그렇게 깊지 않았구나. 몰랐어.」,
昔は泉に落ちたら一生あがってこれないよ、なんて親や近所の人に言われていた気がする。,印象中过去好像父母还是邻居说过掉进泉水里就一辈子上不来了。,옛날에는 샘에 빠지면 평생 빠져나올 수 없다고 부모님과 이웃사람들이 말했던 것 같다.,
綺麗な水で底は結構見えるから信じてはいなかったけど、結局ぼくはそれを実際に確かめようとしたことはない。,泉水清澈见底所以我并没相信，但也没有实际确认过。,"깨끗한 물이라서 바닥이 보였기 때문에 믿지 않았지만, 결국 그것을 실제로 확인하려 한 적은 없었다.",
「……」,“……”,「…….」,
ユエナは泉の中央で、太ももまで水につかりながら夜空を見上げている。,由依奈站在水没到大腿的泉水中央仰望夜空。,유에나는 샘물 가운데에서 하늘을 올려다보았다.,
ふと数十分前に考えていたことを思い出した。,我突然想起几十分钟前思考的事。,문득 수십 분 전에 했던 생각이 떠올랐다.,
夜の学校に忍び込んでプールに飛び込んでやろうか。,乘夜潜入学校，跳进泳池里。,학교에 몰래 가서 확 수영장에 들어가 버려야지.,
変なことを考えていたなと思う。,真是想了些奇怪的事。,참 이상한 생각이다.,
結局学校は遠いからめんどうくさいなんて理由で諦めたし、そもそもそんなことを初めからやるつもりはなかったけど、,结果以学校太远为李要放弃了，而且说到底一开始就没打算真的那么做。,결국 멀어서 귀찮다는 이유로 포기했고 처음부터 그런 짓을 할 생각도 없었지만,
少しだけやってみたい衝動と、やれる状況が目の前に用意されている。,想要尝试一下的冲动和正合适的机会摆在了眼前。,조금은 해 보고 싶다는 충동과 그걸 가능케 할 상황이 눈앞에 준비되어 있다.,
「やってみようかな」,“那就试试看吧。”,「해 볼까.」,
小さく気合いをいれてみる。,我给自己鼓了鼓劲。,작게 기합을 넣어 본다.,
あ――いけるかもしれない。,哦——说不定可行。,아―― 할 수 있을 것만 같다.,
およそ普段の日常生活では味わえない興奮がせりあがる。,日常生活中感受不到的兴奋感涌现出来。,평소 일상생활에서는 맛볼 수 없는 흥분이 치솟는다.,
泉から少し離れた。,我稍微退开几步。,샘에서 조금 물러난다.,
ポケットの中のスマホを取り出してその辺の草の上へ放り投げておく。,把口袋里的手机掏出来丢在旁边的草地上。,주머니 속 스마트폰을 꺼내 근처 풀 위에 대충 던져 놓는다.,
そしてぼくは走り出した。,然后跑了起来。,그리고 달려간다.,
「ユエナー！」,“由依奈——！”,「유에나ー!」,
泉の先で待つ彼女の名前を呼ぶ。,我喊着她的名字。,나는 샘 안에서 기다리는 그녀의 이름을 불렀다.,
「んぇ？」,“嗯？”,「으응?」,
ユエナは驚いて目を見開いてこちらを見る。,由依奈惊讶地瞪大眼睛看着我。,유에나가 놀란 듯 눈을 크게 뜨고 이쪽을 바라본다.,
ぼくは助走をつける。,我继续助跑。,나는 두 다리에 박차를 가했다.,
夜の風を切る感覚。温かい空気の塊を置き去りにするような感覚。,仿佛甩开空气，仿佛劈开夜风。,밤바람을 가르는 감각. 따뜻한 공기 덩어리를 떨치고 나아가는 감각.,
泉の手前で大きく地面を蹴って――,在泉水前猛地一踢底面——,샘 앞에서 힘껏 땅바닥을 박차고――,
飛んだ。,腾空。,날았다.,
「うわっぷ！」,“哇噗！”,「푸후!」,
バシャ―ン！　と派手に音を立てて豪快に水しぶきをあげる。,扑通！伴随着巨大的落水声，水花飞溅。,첨벙! 요란한 소리를 울리며 호쾌하게 물보라를 일으킨다.,
懸命に足をもがくとすぐに底に足がつく。,我拼命用脚划水，踩到水底。,열심히 발버둥치자 금세 바닥에 발이 닿았다.,
かき混ぜられた水音から逃げるように顔を水中からだした。,仿佛要逃离混乱的水声一般把头从水里伸出。,마구 뒤섞이는 물결에서 벗어나려 물 밖으로 얼굴을 꺼낸다.,
「ぷはぁっ！　……はぁ……はぁ」,“噗哈！……哈啊……哈啊。”,「하아……. 하아……. 하아.」,
「なにして……だ、だいじょう、ぶ？」,“你做什么？……没、没事、吧？”,"「무슨……. 괜, 괜찮아?」",
「え、あ、うん！　だいじょうぶ」,“哎？啊，嗯！没事！”,"「어, 아, 응! 괜찮아.」",
息も整っていない状態で返事をする。,还没来及调整好呼吸。,숨도 제대로 가다듬지 않고 대답한다.,
声はすぐ隣から聞こえてきた。,由依奈的声音近在耳畔。,목소리가 바로 옆에서 들려온다.,
振り向くと、ユエナがぼやけるほどの距離に顔がある。,转头看去，她的脸近在咫尺。,고개를 돌리자 유에나의 얼굴이 흐릿하게 보일 만큼 가까이 있었다.,
「濡れてる」,“湿透了。”,「젖었어.」,
「それはユエナも同じだよ」,“你也一样啊。”,「그건 유에나도 마찬가지야.」,
ユエナが手を伸ばす。白い手がぼくの頬にふれた。,由依奈伸出手来，洁白的手碰到我的脸颊。,유에나가 손을 뻗는다. 하얀 손이 내 뺨에 닿았다.,
あったかい。,好暖。,따뜻하다.,
「へんなの」,“好怪。”,「이상해.」,
ユエナの手が温かいのか、ぼくの頬が熱くなっているか。,不知是她的手暖，还是我的脸在发烫。,"유에나의 손이 따뜻한 것인지, 내 볼이 뜨거운 것인지.",
きっとその両方だろうと思いながら、この状況を微動だにせず過ぎ去るのを待った。,一定是两边都有吧——这么想着，我一动不动等待时间过去。,분명 둘 다겠지. 나는 미동도 하지 않고 이 상황이 지나가기를 기다렸다.,
やがてぼくらはじゃぶじゃぶと泉からあがる。,之后，我们从泉水里爬上岸。,머지않아 우리는 첨벙첨벙 물살을 가르며 샘에서 빠져나왔다.,
走り出す前の興奮はどこかへいって、今は――,跑起来之前的兴奋已经不知所从。现在——,"달리기 전의 흥분은 온데간데없고, 지금은――",
「う、気持ち悪い」,“呜，真不舒服。”,"「으, 기분 나빠.」",
下着までもを含めた衣類が肌に張り付く感触がただただ気持ち悪かった。,包括内衣在内全都贴在身上的感觉真不舒服。,속옷을 포함한 옷가지가 살에 달라붙어 아주 불쾌했다.,
小学生の時の着衣水泳の授業を思い出す。,让我想起了小学时穿着衣服游泳的课程。,초등학생 때 옷을 입고 했던 수영 수업이 떠오른다.,
大事なことなんだけどやはりあれは気持ちが悪い事この上なかった。,虽然是很重要的课程，但没有比这更不舒服的了。,중요한 수업이라지만 그것도 불쾌하기 짝이 없었다.,
「服をきたまま濡れるって気持ち悪くない？」,“穿着湿透的衣服不难受吗？”,「옷이 젖으면 기분 나쁘지 않아?」,
ユエナに顔を向ける。,我转向由依奈。,유에나를 바라본다.,
「あ……」,“啊……”,「아…….」,
「？」,“嗯？”,「?」,
不思議そうにしているユエナから目を逸らす。,我把目光从一脸不解的由依奈身上转开。,유에나가 의아한 눈빛으로 쳐다본다. 나는 눈을 돌렸다.,
「ともき？」,“智纪？”,「토모키?」,
「あ、その〜」,“啊，那个～”,"「어, 그게~」",
横目でユエナを見ながら必死に何かを言葉を探す。,我用余光看着由依奈，拼命组织语言。,곁눈질로 유에나를 바라보며 필사적으로 할 말을 만들어낸다.,
「ユエナ、その……服が濡れてるから」,“由依奈，那个……你衣服湿透了。”,"「유에나, 그……. 옷이 젖어서.」",
「うん」,“嗯。”,「응.」,
「うん、なんか、うん、申し訳ないなと」,“嗯，怎么说呢，嗯，很抱歉。”,"「응, 뭐랄까, 응, 좀 미안해서.」",
ユエナは自分の姿を下から順に見つめて、,由依奈自下而上看了看自己。,"유에나는 자기 모습을 아래로 쭉 훑어본 뒤,",
「大丈夫」,“没关系的。”,「괜찮아.」,
そう呟いた。,然后这么说了。,하고 중얼거렸다.,
「いやいや、ユエナが大丈夫でもぼくが大丈夫じゃないというか」,“不不不，就算你没关系，但我有关系啊。”,"「아니, 아니. 유에나가 괜찮아도 내가 안 괜찮아.」",
「こういう時は目を逸らしておかないといけないというか」,“这种时候我是不是不能朝你那边看啊。”,「이럴 때는 눈을 돌려야 되지 않나 싶어서.」,
ユエナの制服はこれでもかと水分を含んで身体のラインに沿うように張り付いている。,由依奈湿透的衣服依然紧紧贴合着身体曲线。,유에나의 교복은 한껏 물을 빨아들여 신체의 곡선을 선명하게 드러내고 있었다.,
幸い下着的なものの色は透けていないように思えた。,还好没有透出疑似内衣的颜色。,다행히 속옷 같은 것의 색은 비치지 않은 듯했다.,
それでも胸の曲線に沿って濡れた制服は、中学生のぼくには刺激が強かった。,但紧贴胸部曲线的湿校服对我这个初中生来说刺激太强了。,"그래도 가슴을 따라 젖은 교복은, 중학생인 나에게 강한 자극이었다.",
「ともき」,“智纪。”,「토모키.」,
「な、なに？　見てないよ！」,“什、什么？我没看哦！”,"「어, 어어? 안 쳐다봤어!」",
